compound_name,Concentration uM,morphology score,infection rate (%),Cell model,chembl_id,is_CP_hit,is_324_hit,top_74_rank,is_74_hit,is_5_hit,HIT_antiviral_AB_Y/N,HIT_CPE_Y/N,HIT_cellpaiting_Y/N,is_AB_hit,is_CPE_hit,Concentration CPE (nM),Inhibition of cytopathicity (%)
4SC-202,10.0,-0.07,105.0,Vero E6,CHEMBL4283683,False,False,,False,False,N,N,N,False,False,8.33,1.05
5'-chloro-5'-deoxy-ENBA-(+/-),10.0,0.09,104.0,Vero E6,CHEMBL449575,False,False,,False,False,N,N,N,False,False,833.33,3.77
"5,7-dichlorokynurenic-acid",10.0,-0.03,104.0,Vero E6,CHEMBL50267,False,False,,False,False,N,N,N,False,False,1.0,1.65
"5-(4chlorophenyl)-4-ethyl-2,4-dihydro-3H-1,2,4-triazol-3-one",0.83,0.02,110.0,Vero E6,CHEMBL94841,False,False,,False,False,N,N,N,False,False,833.33,0.79
5-BDBD,10.0,0.03,95.5,Vero E6,CHEMBL2180179,False,False,,False,False,N,N,N,False,False,10000.0,0.75
5-HMF,10.0,0.26,86.5,Vero E6,CHEMBL185885,False,False,,False,False,N,N,N,False,False,833.33,1.28
"5-amino-3-D-ribofuranosylthiazolo[4,5-d]pyrimidin-2,7(3H,6H)-dione",10.0,0.01,100.0,Vero E6,CHEMBL2105116,False,False,,False,False,N,N,N,False,False,1.0,2.96
5-aminolevulinic-acid,10.0,0.05,113.0,Vero E6,CHEMBL601,False,False,,False,False,N,N,N,False,False,8.33,1.35
5-carboxamidotryptamine,10.0,0.03,103.0,Vero E6,CHEMBL18840,False,True,,False,False,N,Y,N,False,True,833.33,15.1
5-fluoro-3-pyridyl-methanol,10.0,0.13,101.5,Vero E6,CHEMBL4303401,False,False,,False,False,N,N,N,False,False,8.33,0.14
5-fluorouracil,0.83,0.04,102.0,Vero E6,CHEMBL185,False,False,,False,False,N,N,N,False,False,8.33,1.63
5-hydroxymethyl-tolterodine,10.0,0.19,94.5,Vero E6,CHEMBL3348932,False,False,,False,False,N,N,N,False,False,833.33,2.8
5-hydroxytryptophan,10.0,0.2,104.0,Vero E6,CHEMBL162789,False,False,,False,False,N,N,N,False,False,10000.0,2.55
5-iodo-A-85380,10.0,0.11,101.0,Vero E6,CHEMBL123433,False,False,,False,False,N,N,N,False,False,833.33,1.07
5-methylfurmethiodide,10.0,-0.12,117.0,Vero E6,CHEMBL1316369,False,False,,False,False,N,N,N,False,False,10000.0,0.7
5-methylhydantoin-(D),10.0,0.12,100.0,Vero E6,CHEMBL1394088,False,False,,False,False,N,N,N,False,False,10000.0,2.36
5-methylhydantoin-(D),10.0,0.08,104.5,Vero E6,CHEMBL1394088,False,False,,False,False,N,N,N,False,False,10000.0,2.36
"6,7-dehydro-17-acetoxy-progesterone",10.0,0.11,105.5,Vero E6,CHEMBL4303675,False,False,,False,False,N,N,N,False,False,10000.0,7.2
6-aminochrysene,10.0,0.14,101.0,Vero E6,CHEMBL313154,False,False,,False,False,N,N,N,False,False,100.0,2.99
6-benzylaminopurine,10.0,0.19,99.0,Vero E6,CHEMBL228862,False,False,,False,False,N,N,N,False,False,1.0,0.87
6-chloromelatonin,10.0,0.02,103.5,Vero E6,CHEMBL34730,False,False,,False,False,N,N,N,False,False,833.33,4.57
6-diazo-5-oxo-L-norleucine,10.0,0.2,93.5,Vero E6,CHEMBL4303391,False,False,,False,False,N,N,N,False,False,100.0,0.86
6-iodo-nordihydrocapsaicin,10.0,0.04,90.0,Vero E6,CHEMBL177809,False,False,,False,False,N,N,N,False,False,10000.0,2.1
"7,8,9,10-tetrahydroazepino[2,1-b]quinazolin-12(6H)-one",10.0,-0.1,105.5,Vero E6,CHEMBL1192114,False,False,,False,False,N,N,N,False,False,833.33,8.45
7-aminocephalosporanic-acid,10.0,-0.04,104.5,Vero E6,CHEMBL1615585,False,False,,False,False,N,N,N,False,False,10000.0,3.59
7-chlorokynurenic-acid,10.0,0.03,110.0,Vero E6,CHEMBL311389,False,False,,False,False,N,N,N,False,False,10000.0,1.89
7-hydroxy-DPAT,10.0,-0.36,122.0,Vero E6,CHEMBL1255966,False,False,,False,False,N,N,N,False,False,8.33,2.39
7-hydroxy-PIPAT,10.0,-0.1,118.5,Vero E6,CHEMBL110239,False,False,,False,False,N,N,N,False,False,8.33,0.14
7-keto-DHEA,10.0,-0.18,113.5,Vero E6,CHEMBL1875999,False,False,,False,False,N,N,N,False,False,100.0,7.17
7-methoxytacrine,10.0,0.6,64.5,Vero E6,CHEMBL1256415,True,True,37.0,True,False,N,N,Y,False,False,833.33,4.86
7-nitroindazole,10.0,0.05,100.0,Vero E6,CHEMBL247378,False,False,,False,False,N,N,N,False,False,833.33,4.56
8-M-PDOT,10.0,-0.05,93.5,Vero E6,CHEMBL99377,False,False,,False,False,N,N,N,False,False,833.33,7.57
8-bromo-cAMP,10.0,0.42,102.0,Vero E6,CHEMBL1626177,False,False,,False,False,N,N,N,False,False,1.0,2.13
8-bromo-cGMP,10.0,0.05,97.0,Vero E6,CHEMBL1741141,False,False,,False,False,N,N,N,False,False,8.33,2.94
8-hydroxy-DPAT,10.0,0.06,98.5,Vero E6,CHEMBL56,False,False,,False,False,N,N,N,False,False,8.33,1.08
8-hydroxy-PIPAT,10.0,-0.05,105.5,Vero E6,CHEMBL284716,False,False,,False,False,N,N,N,False,False,100.0,3.63
9-aminoacridine,0.83,0.1,105.5,Vero E6,CHEMBL43184,False,False,,False,False,N,N,N,False,False,8.33,1.57
9-anthracenecarboxylic-acid,10.0,0.25,89.5,Vero E6,CHEMBL1513985,False,False,,False,False,N,N,N,False,False,8.33,2.11
A-1070722,10.0,-0.05,101.0,Vero E6,CHEMBL1982660,False,False,,False,False,N,N,N,False,False,10000.0,11.14
A-1120,10.0,0.0,109.0,Vero E6,CHEMBL1230001,False,False,,False,False,N,N,N,False,False,1.0,3.27
A-317491,10.0,0.19,95.5,Vero E6,CHEMBL596234,False,False,,False,False,N,N,N,False,False,10000.0,0.42
A-33903,10.0,0.19,105.0,Vero E6,CHEMBL204738,False,False,,False,False,N,N,N,False,False,8.33,1.87
A-366,10.0,0.02,105.5,Vero E6,CHEMBL3109630,False,False,,False,False,N,N,N,False,False,833.33,1.84
A-412997,10.0,-0.1,108.0,Vero E6,CHEMBL375596,False,False,,False,False,N,N,N,False,False,10000.0,3.09
A-438079,10.0,0.04,99.5,Vero E6,CHEMBL377219,False,False,,False,False,N,N,N,False,False,100.0,0.71
A-582941,10.0,0.15,91.0,Vero E6,CHEMBL526281,False,False,,False,False,N,N,N,False,False,1.0,1.02
A-674563,10.0,0.11,92.5,Vero E6,CHEMBL379218,False,False,,False,False,N,N,N,False,False,833.33,4.63
A-7,10.0,0.53,52.0,Vero E6,CHEMBL1331148,True,True,59.0,True,False,Y,N,Y,True,False,100.0,2.79
A-769662,10.0,0.09,106.5,Vero E6,CHEMBL512504,False,False,,False,False,N,N,N,False,False,10000.0,3.92
A-784168,10.0,0.13,108.0,Vero E6,CHEMBL482834,False,False,,False,False,N,N,N,False,False,1.0,0.25
