compound_name,chembl_id,is_AB_hit,infection rate (%)
"BETAMETHASONE 17,21-DIPROPIONATE",CHEMBL1200384,False,103.5
BETAMETHASONE VALERATE,CHEMBL1497,False,111.5
BETP,CHEMBL4303527,True,33.5
BGT226,CHEMBL3545096,False,104.5
BHQ,CHEMBL480626,False,106.0
BI-224436,CHEMBL3259907,False,104.0
BI-2536,CHEMBL513909,False,104.5
BI-78D3,CHEMBL508280,False,76.5
BI-847325,CHEMBL3699142,False,99.0
BI-D1870,CHEMBL573107,False,106.0
BIBN4096,CHEMBL207197,False,109.5
BIBR-1532,CHEMBL27323,False,103.0
BIBU-1361,CHEMBL1358485,False,111.5
BIBX-1382,CHEMBL258940,False,114.0
BIIB021,CHEMBL467399,False,98.5
BIMU-8,CHEMBL324057,False,106.0
BINA,CHEMBL593013,False,108.0
BIO-5192,CHEMBL4303683,False,91.0
BIRT-377,CHEMBL367808,False,96.5
BIX-01294,CHEMBL569864,False,73.5
BIX-02188,CHEMBL4303171,False,119.5
BIX-02189,CHEMBL2381342,False,112.5
BL-5583,CHEMBL312607,False,88.0
BLU9931,CHEMBL4068896,False,67.0
BML-190,CHEMBL72631,False,112.0
BML-284,CHEMBL4303671,False,111.0
BMS-182874,CHEMBL267458,False,95.5
BMS-191011,CHEMBL45349,True,39.5
BMS-191095,CHEMBL11594,False,81.0
BMS-265246,CHEMBL310840,False,104.0
BMS-299897,CHEMBL247471,False,112.5
BMS-309403,CHEMBL247920,False,96.5
BMS-345541,CHEMBL471496,False,116.5
BMS-470539,CHEMBL14642,False,98.0
BMS-536924,CHEMBL401930,False,110.0
BMS-566419,CHEMBL229008,True,55.0
BMS-587101,CHEMBL214529,False,92.5
BMS-599626,CHEMBL1645462,False,102.5
BMS-649,CHEMBL112715,False,110.5
BMS-688521,CHEMBL1098726,False,114.0
BMS-690514,CHEMBL3545396,False,111.5
BMS-707035,CHEMBL486226,False,104.0
BMS-777607,CHEMBL460702,False,107.0
BMS-806,CHEMBL337301,False,99.0
BMS-817378,CHEMBL4303546,False,102.0
BMS-833923,CHEMBL3545403,False,98.0
BMS-863233,CHEMBL2030402,False,104.0
BMS-983970,CHEMBL4303322,False,102.5
BMS-CCR2-22,CHEMBL273083,False,93.5
BMY-14802,CHEMBL60859,False,108.0
BMY-45778,CHEMBL125569,False,101.5
BMY-7378,CHEMBL543741,False,116.5
BNC105,CHEMBL1852492,False,114.5
BNTX,CHEMBL252172,True,23.5
BP-554,CHEMBL1401324,False,101.0
BP-897,CHEMBL540612,False,94.5
BQ-123,CHEMBL314691,False,103.0
BQ-788,CHEMBL1515091,False,104.0
BQU57,CHEMBL3927655,False,98.0
BRD4770,CHEMBL3970748,False,94.5
BRD7389,CHEMBL4303592,False,112.5
BRD9876,CHEMBL4303295,False,105.0
BRL-15572,CHEMBL534232,False,96.5
BRL-26314,CHEMBL4303469,False,101.5
BRL-37344,CHEMBL284782,False,107.0
BRL-44408,CHEMBL216097,False,92.5
