chembl_id,mechanism_of_action,action_type,target_chembl_id,protein_symbol,ensg_id,disease_id,protein_association_score,moa_association_score_x,moa_protein_count_x,moa_protein_symbols_x,moa_association_score_y,moa_protein_count_y,moa_protein_symbols_y
CHEMBL3187798,,,,,,MONDO_0100096,,,,,,,
CHEMBL1464276,,,,,,MONDO_0100096,,,,,,,
CHEMBL560993,G protein-coupled receptor 44 antagonist,ANTAGONIST,CHEMBL5071,PTGDR2,ENSG00000183134,MONDO_0100096,0.0787854589942772,,,,0.0787854589942772,1.0,PTGDR2
CHEMBL4297185,Androgen Receptor antagonist,ANTAGONIST,CHEMBL1871,AR,ENSG00000169083,MONDO_0100096,0.4069456596579756,,,,0.4069456596579756,1.0,AR
CHEMBL598952,,,,,,MONDO_0100096,,,,,,,
CHEMBL3770173,,,,,,MONDO_0100096,,,,,,,
CHEMBL4289507,,,,,,MONDO_0100096,,,,,,,
CHEMBL3798846,,,,,,MONDO_0100096,,,,,,,
CHEMBL250711,,,,,,MONDO_0100096,,,,,,,
CHEMBL1316265,,,,,,MONDO_0100096,,,,,,,
CHEMBL3115681,,,,,,MONDO_0100096,,,,,,,
CHEMBL4297310,Unknown,,,,,MONDO_0100096,0.0,,,,0.0,0.0,
CHEMBL4071161,Tyrosine-protein kinase BTK inhibitor,INHIBITOR,CHEMBL5251,BTK,ENSG00000010671,MONDO_0100096,0.32101339349999153,,,,0.32101339349999153,1.0,BTK
CHEMBL4303601,,,,,,MONDO_0100096,,,,,,,
CHEMBL3939289,,,,,,MONDO_0100096,,,,,,,
CHEMBL296908,,,,,,MONDO_0100096,,,,,,,
CHEMBL168276,,,,,,MONDO_0100096,,,,,,,
CHEMBL506999,,,,,,MONDO_0100096,,,,,,,
CHEMBL88588,,,,,,MONDO_0100096,,,,,,,
CHEMBL4303417,,,,,,MONDO_0100096,,,,,,,
CHEMBL1553629,,,,,,MONDO_0100096,,,,,,,
CHEMBL4303509,,,,,,MONDO_0100096,,,,,,,
CHEMBL4593062,,,,,,MONDO_0100096,,,,,,,
CHEMBL2132692,,,,,,MONDO_0100096,,,,,,,
CHEMBL3186743,,,,,,MONDO_0100096,,,,,,,
CHEMBL1614710,Stem cell growth factor receptor inhibitor,INHIBITOR,CHEMBL1936,KIT,ENSG00000157404,MONDO_0100096,0.3707591922295564,,,,0.3707591922295564,1.0,KIT
CHEMBL1614710,Vascular endothelial growth factor receptor inhibitor,INHIBITOR,CHEMBL2095227,FLT1,ENSG00000102755,MONDO_0100096,0.2873662931042196,,,,0.2873662931042196,1.0,FLT1
CHEMBL1254024,,,,,,MONDO_0100096,,,,,,,
CHEMBL3688339,,,,,,MONDO_0100096,,,,,,,
CHEMBL3672295,,,,,,MONDO_0100096,,,,,,,
CHEMBL3581647,Bromodomain and extra-terminal motif (BET) inhibitor,INHIBITOR,CHEMBL4296614,BRD2,ENSG00000204256,MONDO_0100096,0.08360200106159175,,,,0.08360200106159175,1.0,BRD2
CHEMBL4303164,,,,,,MONDO_0100096,,,,,,,
CHEMBL2335154,,,,,,MONDO_0100096,,,,,,,
CHEMBL1719,Histamine H1 receptor antagonist,ANTAGONIST,CHEMBL231,HRH1,ENSG00000196639,MONDO_0100096,0.36494970892504414,,,,0.36494970892504414,1.0,HRH1
CHEMBL5308387,,,,,,MONDO_0100096,,,,,,,
CHEMBL4303503,,,,,,MONDO_0100096,,,,,,,
CHEMBL1200436,Androgen Receptor agonist,AGONIST,CHEMBL1871,AR,ENSG00000169083,MONDO_0100096,0.4069456596579756,,,,0.4069456596579756,1.0,AR
CHEMBL1200585,Androgen Receptor agonist,AGONIST,CHEMBL1871,AR,ENSG00000169083,MONDO_0100096,0.4069456596579756,,,,0.4069456596579756,1.0,AR
CHEMBL2159498,,,,,,MONDO_0100096,,,,,,,
CHEMBL3991935,,,,,,MONDO_0100096,,,,,,,
CHEMBL2159495,,,,,,MONDO_0100096,,,,,,,
CHEMBL2442630,,,,,,MONDO_0100096,,,,,,,
CHEMBL591429,,,,,,MONDO_0100096,,,,,,,
CHEMBL99344,,,,,,MONDO_0100096,,,,,,,
CHEMBL285742,,,,,,MONDO_0100096,,,,,,,
CHEMBL107881,,,,,,MONDO_0100096,,,,,,,
CHEMBL2103863,Histone deacetylase inhibitor,INHIBITOR,CHEMBL2093865,HDAC1,ENSG00000116478,MONDO_0100096,0.0036957985468470188,,,,0.0036957985468470188,1.0,HDAC1
CHEMBL2057912,,,,,,MONDO_0100096,,,,,,,
CHEMBL2170177,,,,,,MONDO_0100096,,,,,,,
CHEMBL61723,,,,,,MONDO_0100096,,,,,,,
CHEMBL59898,,,,,,MONDO_0100096,,,,,,,
CHEMBL321820,,,,,,MONDO_0100096,,,,,,,
CHEMBL97424,,,,,,MONDO_0100096,,,,,,,
CHEMBL29197,,,,,,MONDO_0100096,,,,,,,
CHEMBL25438,,,,,,MONDO_0100096,,,,,,,
CHEMBL53753,,,,,,MONDO_0100096,,,,,,,
CHEMBL422942,,,,,,MONDO_0100096,,,,,,,
CHEMBL45827,,,,,,MONDO_0100096,,,,,,,
CHEMBL49120,,,,,,MONDO_0100096,,,,,,,
CHEMBL43152,,,,,,MONDO_0100096,,,,,,,
CHEMBL45244,,,,,,MONDO_0100096,,,,,,,
CHEMBL285063,,,,,,MONDO_0100096,,,,,,,
CHEMBL35093,,,,,,MONDO_0100096,,,,,,,
CHEMBL189584,,,,,,MONDO_0100096,,,,,,,
CHEMBL299749,,,,,,MONDO_0100096,,,,,,,
CHEMBL105442,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor,INHIBITOR,CHEMBL3587,MAP2K1,ENSG00000169032,MONDO_0100096,0.007047647970819741,,,,0.007047647970819741,1.0,MAP2K1
CHEMBL105442,Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,INHIBITOR,CHEMBL2964,MAP2K2,ENSG00000126934,MONDO_0100096,0.012011345277252809,,,,0.012011345277252809,1.0,MAP2K2
CHEMBL1474985,,,,,,MONDO_0100096,,,,,,,
CHEMBL3182051,,,,,,MONDO_0100096,,,,,,,
CHEMBL214253,,,,,,MONDO_0100096,,,,,,,
CHEMBL59532,,,,,,MONDO_0100096,,,,,,,
CHEMBL35482,,,,,,MONDO_0100096,,,,,,,
CHEMBL3582252,,,,,,MONDO_0100096,,,,,,,
CHEMBL4303586,,,,,,MONDO_0100096,,,,,,,
CHEMBL4303222,,,,,,MONDO_0100096,,,,,,,
CHEMBL5308488,,,,,,MONDO_0100096,,,,,,,
CHEMBL562318,Phosphodiesterase 10A inhibitor,INHIBITOR,CHEMBL4409,PDE10A,ENSG00000112541,MONDO_0100096,0.29223500398485336,,,,0.29223500398485336,1.0,PDE10A
CHEMBL591501,Phosphodiesterase 5A inhibitor,INHIBITOR,CHEMBL1827,PDE5A,ENSG00000138735,MONDO_0100096,0.36659315009610705,,,,0.36659315009610705,1.0,PDE5A
CHEMBL1770916,Gamma-secretase inhibitor,INHIBITOR,CHEMBL2094135,APH1A,ENSG00000117362,MONDO_0100096,0.0,,,,0.0,1.0,APH1A
CHEMBL3128043,Serine/threonine-protein kinase PAK 4 inhibitor,INHIBITOR,CHEMBL4482,PAK4,ENSG00000130669,MONDO_0100096,0.0,,,,0.0,1.0,PAK4
CHEMBL4289017,Serine/threonine-protein kinase Aurora-A inhibitor,INHIBITOR,CHEMBL4722,AURKA,ENSG00000087586,MONDO_0100096,0.008549203327423118,,,,0.008549203327423118,1.0,AURKA
CHEMBL4289017,Serine/threonine-protein kinase Aurora-B inhibitor,INHIBITOR,CHEMBL2185,AURKB,ENSG00000178999,MONDO_0100096,0.009997818312401771,,,,0.009997818312401771,1.0,AURKB
CHEMBL1215331,Mineralocorticoid receptor antagonist,ANTAGONIST,CHEMBL1994,NR3C2,ENSG00000151623,MONDO_0100096,0.2814590964369974,,,,0.2814590964369974,1.0,NR3C2
CHEMBL2029422,C-C chemokine receptor type 2 antagonist,ANTAGONIST,CHEMBL4015,CCR2,ENSG00000121807,MONDO_0100096,0.41378482323523724,,,,0.41378482323523724,1.0,CCR2
CHEMBL2001019,Hepatocyte growth factor receptor inhibitor,INHIBITOR,CHEMBL3717,MET,ENSG00000105976,MONDO_0100096,0.009908936638707226,,,,0.009908936638707226,1.0,MET
CHEMBL3286797,,,,,,MONDO_0100096,,,,,,,
CHEMBL2179105,Phosphodiesterase 9A inhibitor,INHIBITOR,CHEMBL3535,PDE9A,ENSG00000160191,MONDO_0100096,0.291495844275484,,,,0.291495844275484,1.0,PDE9A
CHEMBL1651534,Anandamide amidohydrolase inhibitor,INHIBITOR,CHEMBL2243,FAAH,ENSG00000117480,MONDO_0100096,0.36073047038641803,,,,0.36073047038641803,1.0,FAAH
CHEMBL1835919,,,,,,MONDO_0100096,,,,,,,
CHEMBL1234354,Serine/threonine-protein kinase mTOR inhibitor,INHIBITOR,CHEMBL2842,MTOR,ENSG00000198793,MONDO_0100096,0.1041835974237717,,,,0.1041835974237717,1.0,MTOR
CHEMBL1234354,PI3-kinase class I inhibitor,INHIBITOR,CHEMBL3559703,PIK3R1,ENSG00000145675,MONDO_0100096,0.09571858132522278,,,,0.09571858132522278,1.0,PIK3R1
CHEMBL4084106,,,,,,MONDO_0100096,,,,,,,
CHEMBL592445,Serine/threonine-protein kinase mTOR inhibitor,INHIBITOR,CHEMBL2842,MTOR,ENSG00000198793,MONDO_0100096,0.1041835974237717,,,,0.1041835974237717,1.0,MTOR
CHEMBL592445,PI3-kinase class I inhibitor,INHIBITOR,CHEMBL3559703,PIK3R1,ENSG00000145675,MONDO_0100096,0.09571858132522278,,,,0.09571858132522278,1.0,PIK3R1
CHEMBL3393348,,,,,,MONDO_0100096,,,,,,,
CHEMBL3286830,ALK tyrosine kinase receptor inhibitor,INHIBITOR,CHEMBL4247,ALK,ENSG00000171094,MONDO_0100096,0.008705395814237763,,,,0.008705395814237763,1.0,ALK
CHEMBL3286830,EML4-ALK inhibitor,INHIBITOR,CHEMBL3883330,ALK,ENSG00000171094,MONDO_0100096,0.008705395814237763,,,,0.008705395814237763,1.0,ALK
CHEMBL594828,,,,,,MONDO_0100096,,,,,,,
CHEMBL1651524,,,,,,MONDO_0100096,,,,,,,
CHEMBL233611,,,,,,MONDO_0100096,,,,,,,
CHEMBL472212,,,,,,MONDO_0100096,,,,,,,
CHEMBL2134202,,,,,,MONDO_0100096,,,,,,,
CHEMBL3990456,,,,,,MONDO_0100096,,,,,,,
CHEMBL2069623,,,,,,MONDO_0100096,,,,,,,
CHEMBL3527048,,,,,,MONDO_0100096,,,,,,,
CHEMBL3186656,,,,,,MONDO_0100096,,,,,,,
CHEMBL1084546,Focal adhesion kinase 1 inhibitor,INHIBITOR,CHEMBL2695,PTK2,ENSG00000169398,MONDO_0100096,0.0036957985468470188,,,,0.0036957985468470188,1.0,PTK2
CHEMBL514554,,,,,,MONDO_0100096,,,,,,,
CHEMBL4643847,,,,,,MONDO_0100096,,,,,,,
CHEMBL560590,,,,,,MONDO_0100096,,,,,,,
CHEMBL3186509,,,,,,MONDO_0100096,,,,,,,
CHEMBL495841,,,,,,MONDO_0100096,,,,,,,
CHEMBL2179387,,,,,,MONDO_0100096,,,,,,,
CHEMBL3752911,,,,,,MONDO_0100096,,,,,,,
CHEMBL3356143,,,,,,MONDO_0100096,,,,,,,
CHEMBL3105836,,,,,,MONDO_0100096,,,,,,,
CHEMBL4303611,,,,,,MONDO_0100096,,,,,,,
CHEMBL1590223,,,,,,MONDO_0100096,,,,,,,
CHEMBL3545213,"c-Jun N-terminal kinase, JNK inhibitor",INHIBITOR,CHEMBL2096667,MAPK8,ENSG00000107643,MONDO_0100096,0.023318582069049628,,,,0.023318582069049628,1.0,MAPK8
CHEMBL1088751,MAP kinase p38 alpha inhibitor,INHIBITOR,CHEMBL260,MAPK14,ENSG00000112062,MONDO_0100096,0.26522905635086896,,,,0.26522905635086896,1.0,MAPK14
CHEMBL2086586,,,,,,MONDO_0100096,,,,,,,
CHEMBL450786,,,,,,MONDO_0100096,,,,,,,
CHEMBL363160,,,,,,MONDO_0100096,,,,,,,
CHEMBL225519,,,,,,MONDO_0100096,,,,,,,
CHEMBL1230607,Cyclin-dependent kinase inhibitor,INHIBITOR,CHEMBL3559691,CDK1,ENSG00000170312,MONDO_0100096,0.031340402956565684,,,,0.031340402956565684,1.0,CDK1
CHEMBL564829,Cyclin-dependent kinase 1 inhibitor,INHIBITOR,CHEMBL308,CDK1,ENSG00000170312,MONDO_0100096,0.031340402956565684,,,,0.031340402956565684,1.0,CDK1
