rank,chembl_id,composite_final,direct_antiviral_score,focus_protein_score,focus_pathway_score,focus_moa_score,focus_protein_hits,focus_pathways,focus_moas,veroE6_relevant,mechanistic_rationale,compound_name,is_CPE_hit,Concentration CPE (nM),Inhibition of cytopathicity (%),in_prior,in_cpe,prior_norm,cpe_norm,composite_rerank_score,rerank
1423.0,CHEMBL562318,0.0202029467832799,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,PF-02545920,True,10000.0,52.35,True,True,0.0058537351079232,0.4036439227194913,0.20474882891370724,63
20.0,CHEMBL46618,1.1254909048667594,1.011709959763137,1.8394726541147943,0.0,0.0,TMPRSS2,,,False,Host protein hits: TMPRSS2,otamixaban,False,833.33,-0.51,True,True,0.3261071612047885,0.0804597701149425,0.2032834656598655,64
28.0,CHEMBL428690,0.9522201344436249,0.3041876426607421,0.0360726078658958,1.8956513888966624,0.0,AAK1,FCGR3A-mediated phagocytosis; PINK1-PRKN Mediated Mitophagy; Regulation of actin dynamics for phagocytic cup formation,,True,Host protein hits: AAK1 | Relevant pathways: FCGR3A-mediated phagocytosis; PINK1-PRKN Mediated Mitophagy; Regulation of actin dynamics for phagocytic cup formation,alvocidib,False,100.0,7.55,True,True,0.2759025448741534,0.1297383223281976,0.2028204336011755,65
4936.0,CHEMBL5314365,0.0,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,MONENSIN SODIUM,True,10000.0,52.55,True,True,0.0,0.404866715578381,0.2024333577891905,66
595.0,CHEMBL5483012,0.0740685775518782,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,SNAP-5089,True,10000.0,48.82,True,True,0.0214611183932927,0.3820616287600881,0.20176137357669038,67
2215.0,CHEMBL1561,0.0016712500341965,0.0011087395640541,0.0,0.0,0.003695798546847,,,Lysosomal alpha-glucosidase inhibitor,True,MoA: Lysosomal alpha-glucosidase inhibitor,miglitol,True,100.0,52.08,True,True,0.0004842390124687,0.4019931523599903,0.20123869568622949,68
36.0,CHEMBL63440,0.858495902859946,0.7947219215046357,1.1773658096364972,0.981138174697081,0.0,CTSL,Endosomal/Vacuolar pathway,,True,Host protein hits: CTSL | Relevant pathways: Endosomal/Vacuolar pathway,aloxistatin,False,10000.0,11.22,True,True,0.2487462675860024,0.1521765712888237,0.20046141943741305,69
32.0,CHEMBL1738757,0.903076895240996,0.2292958458477202,0.0,1.5286389723181348,0.0,,ER-Phagosome pathway; FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,False,Relevant pathways: ER-Phagosome pathway; FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,rebastinib,False,10000.0,8.96,True,True,0.2616634584812923,0.13835901198337,0.20001123523233116,70
23.0,CHEMBL231813,0.9821340379015682,0.8881462329658749,1.3472281941114777,0.981138174697081,0.0,"CTSB,CTSK,CTSL,CTSS",Endosomal/Vacuolar pathway,,True,"Host protein hits: CTSB,CTSK,CTSL,CTSS | Relevant pathways: Endosomal/Vacuolar pathway",telaprevir,False,833.33,5.12,True,True,0.2845699966456796,0.1148813890926877,0.19972569286918365,71
191.0,CHEMBL29197,0.3210090663023736,0.1696796375454481,0.0,1.1311975836363206,0.0,,FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,False,Relevant pathways: FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,PD-153035,True,10000.0,36.34,True,True,0.09301128501368,0.3057593543653706,0.1993853196895253,72
60.0,CHEMBL3989870,0.5533351548973018,0.1696796375454481,0.0,1.1311975836363206,0.0,,FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,False,Relevant pathways: FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,VE-822,True,10000.0,25.25,True,True,0.1603269789014715,0.2379554903399364,0.19914123462070393,73
