compound_name,chembl_id,is_CPE_hit,Concentration CPE (nM),Inhibition of cytopathicity (%)
AVL-292,CHEMBL3301625,False,8.33,2.81
AVN-944,CHEMBL3349001,False,10000.0,13.17
AY-9944,CHEMBL3775982,True,10000.0,16.37
AZ-10417808,CHEMBL586058,False,833.33,9.51
AZ-10606120,CHEMBL562308,False,8.33,8.07
AZ-12080282,CHEMBL2059865,False,8.33,-0.95
AZ-628,CHEMBL2144069,False,8.33,2.77
AZ191,CHEMBL3421968,True,10000.0,40.71
AZ20,CHEMBL2325697,False,1.0,1.08
AZ3146,CHEMBL2140523,False,10000.0,11.09
AZ505,CHEMBL2169920,False,833.33,-1.32
AZ5104,CHEMBL3353411,False,1.0,-3.07
AZ960,CHEMBL1774055,False,8.33,0.82
AZD1080,CHEMBL1969664,False,10000.0,11.44
AZD1208,CHEMBL2048872,False,1.0,3.5
AZD1283,CHEMBL2419490,False,1.0,3.08
AZD1446,CHEMBL2179529,False,100.0,2.2
AZD1480,CHEMBL1231124,False,833.33,0.25
AZD1981,CHEMBL1914489,False,833.33,-0.59
AZD2014,CHEMBL2336325,False,1.0,0.89
AZD2461,CHEMBL4098253,False,8.33,7.33
AZD2858,CHEMBL2177161,True,10000.0,36.04
AZD3264,CHEMBL4303437,False,100.0,2.46
AZD3463,CHEMBL4203266,False,8.33,0.49
AZD3514,CHEMBL2346976,False,10000.0,1.88
AZD3759,CHEMBL3623290,False,8.33,2.48
AZD3839,CHEMBL2177913,False,1.0,0.77
AZD3965,CHEMBL3335793,False,10000.0,2.23
AZD3988,CHEMBL2036730,False,100.0,0.13
AZD4282,CHEMBL773,False,1.0,1.39
AZD4547,CHEMBL3348846,False,8.33,1.81
AZD5363,CHEMBL2325741,False,833.33,1.15
AZD5438,CHEMBL488436,False,833.33,6.02
AZD5582,CHEMBL3108827,False,8.33,4.06
AZD6482,CHEMBL2165191,False,1.0,-0.68
AZD6738,CHEMBL3648328,False,10000.0,1.76
AZD7545,CHEMBL1231132,False,833.33,0.59
AZD7687,CHEMBL2178944,False,1.0,5.02
AZD7762,CHEMBL2041933,False,8.33,0.53
AZD8055,CHEMBL1801204,False,1.0,-1.08
AZD8186,CHEMBL3408248,False,833.33,1.19
AZD8330,CHEMBL3182621,False,1.0,-2.17
AZD8835,CHEMBL3894518,False,100.0,1.87
AZD8931,CHEMBL2408045,False,8.33,0.66
AZD9272,CHEMBL2164551,False,10000.0,2.97
AZD9496,CHEMBL3623004,False,8.33,1.08
AZD9668,CHEMBL3617964,False,100.0,-0.79
AZM-475271,CHEMBL426161,False,8.33,-0.25
Abiraterone (CB-7598),CHEMBL254328,False,8.33,5.09
BAG-956,CHEMBL2134545,False,8.33,8.23
BAM7,CHEMBL3187660,False,10000.0,2.33
BAN-ORL-24,CHEMBL201945,False,10000.0,0.56
BAX-channel-blocker,CHEMBL1402326,False,1.0,10.2
BAY-11-7082,CHEMBL403183,True,10000.0,18.79
BAY-11-7085,CHEMBL270299,False,833.33,5.32
BAY-41-2272,CHEMBL353759,False,8.33,2.15
BAY-60-6583,CHEMBL4202825,False,10000.0,12.12
BAY-60-7550,CHEMBL370962,False,10000.0,4.77
BAY-61-3606,CHEMBL541400,False,8.33,-0.9
BAY-85-8050,CHEMBL1650467,False,100.0,2.09
BAY-87-2243,CHEMBL4303384,False,833.33,0.7
BAY-K-8644-(+/-),CHEMBL513599,False,10000.0,5.16
BAY-K-8644-(+/-),CHEMBL513599,False,10000.0,5.16
BAY-W-9798,CHEMBL4303598,False,10000.0,8.02
BAZ2-ICR,CHEMBL4296718,False,8.33,2.79
BC-11,CHEMBL4303420,False,10000.0,6.1
BCI-540,CHEMBL37935,False,1.0,0.92
BCTC,CHEMBL441472,False,8.33,0.45
BCX-1470,CHEMBL2220483,False,10000.0,4.87
BD-1008,CHEMBL20377,False,833.33,3.84
BD-1047,CHEMBL143360,False,100.0,1.41
BD-1063,CHEMBL73824,False,8.33,3.18
BE-2254,CHEMBL1515808,False,1.0,0.05
BET-BAY-002,CHEMBL3785668,False,100.0,2.65
"BETAMETHASONE 17,21-DIPROPIONATE",CHEMBL1200384,False,8.33,0.98
BETAMETHASONE VALERATE,CHEMBL1497,False,8.33,-2.7
BETP,CHEMBL4303527,False,10000.0,9.98
BGT226,CHEMBL3545096,False,8.33,2.5
BHQ,CHEMBL480626,True,10000.0,17.03
BI-224436,CHEMBL3259907,False,1.0,-1.93
BI-2536,CHEMBL513909,False,8.33,1.56
BI-78D3,CHEMBL508280,False,100.0,1.8
BI-847325,CHEMBL3699142,False,1.0,0.51
BI-D1870,CHEMBL573107,False,10000.0,8.71
BIBN4096,CHEMBL207197,False,100.0,2.08
BIBR-1532,CHEMBL27323,False,8.33,3.85
BIBU-1361,CHEMBL1358485,True,10000.0,21.65
BIBX-1382,CHEMBL258940,False,8.33,1.23
BIIB021,CHEMBL467399,False,10000.0,6.01
BIMU-8,CHEMBL324057,False,1.0,3.0
BINA,CHEMBL593013,True,833.33,19.02
BIO-5192,CHEMBL4303683,False,8.33,0.66
BIRT-377,CHEMBL367808,False,1.0,-0.07
BIX-01294,CHEMBL569864,False,10000.0,11.67
BIX-02188,CHEMBL4303171,False,8.33,2.55
BIX-02189,CHEMBL2381342,False,100.0,1.9
BL-5583,CHEMBL312607,False,10000.0,0.62
BLU9931,CHEMBL4068896,False,10000.0,3.67
BML-190,CHEMBL72631,False,100.0,1.8
BML-284,CHEMBL4303671,False,1.0,0.39
BMS-182874,CHEMBL267458,False,833.33,1.44
BMS-191011,CHEMBL45349,False,10000.0,13.79
BMS-191095,CHEMBL11594,False,833.33,2.7
BMS-265246,CHEMBL310840,False,1.0,0.56
BMS-299897,CHEMBL247471,False,8.33,-1.39
BMS-309403,CHEMBL247920,False,8.33,3.84
BMS-345541,CHEMBL471496,False,833.33,0.69
BMS-470539,CHEMBL14642,False,1.0,0.65
BMS-536924,CHEMBL401930,False,8.33,-0.03
BMS-566419,CHEMBL229008,True,10000.0,26.8
BMS-587101,CHEMBL214529,False,100.0,1.44
BMS-599626,CHEMBL1645462,False,1.0,0.31
BMS-649,CHEMBL112715,False,100.0,1.0
BMS-688521,CHEMBL1098726,False,833.33,1.84
BMS-690514,CHEMBL3545396,False,8.33,0.1
BMS-707035,CHEMBL486226,False,833.33,-0.06
BMS-777607,CHEMBL460702,False,1.0,2.67
BMS-806,CHEMBL337301,False,1.0,1.91
BMS-817378,CHEMBL4303546,False,8.33,6.02
BMS-833923,CHEMBL3545403,True,10000.0,61.26
BMS-863233,CHEMBL2030402,False,100.0,1.61
BMS-983970,CHEMBL4303322,False,1.0,-0.36
BMS-CCR2-22,CHEMBL273083,False,1.0,4.3
BMY-14802,CHEMBL60859,False,833.33,4.34
BMY-45778,CHEMBL125569,False,10000.0,3.01
BMY-7378,CHEMBL543741,False,100.0,2.97
BNC105,CHEMBL1852492,False,10000.0,4.53
BNTX,CHEMBL252172,False,833.33,8.78
BP-554,CHEMBL1401324,False,1.0,-0.84
BP-897,CHEMBL540612,False,100.0,1.14
BQ-123,CHEMBL314691,False,8.33,1.4
BQ-788,CHEMBL1515091,False,8.33,2.89
BQU57,CHEMBL3927655,False,10000.0,2.56
BRD4770,CHEMBL3970748,False,1.0,-0.52
BRD7389,CHEMBL4303592,False,833.33,2.52
BRD9876,CHEMBL4303295,False,8.33,1.71
BRL-15572,CHEMBL534232,False,8.33,4.95
BRL-26314,CHEMBL4303469,False,833.33,1.08
