batch_ID,compound_name,HIT_CPE_Y/N,HIT_cellpaiting_Y/N,HIT_antiviral_AB_Y/N,MOA_clue_METADATA,Target_clue_METADATA,Pubchem_IsomericSMILES,Pubchem_CID
BJ1895969,PD-407824,N,Y,N,PKC inhibitor,WEE1,C1=CC=C(C=C1)C2=CC3=C(C4=C(N3)C=CC(=C4)O)C5=C2C(=O)NC5=O,4369491
BJ1897127,LDC1267,N,Y,N,protein tyrosine kinase inhibitor,"AXL, MERTK, TYRO3",CCOC1=CN(N=C1C(=O)NC2=CC(=C(C=C2)OC3=C4C=C(C(=CC4=NC=C3)OC)OC)F)C5=C(C=C(C=C5)F)C,56847486
BJ1897675,cot-inhibitor-2,N,Y,Y,MAPK-interacting kinase inhibitor,MAP3K8,CCN1CCC(CC1)N2C=C(N=N2)CNC3=CC4=C(C(=CN=C4C(=C3)Cl)C#N)NC5=CC(=C(C=C5)F)Cl,44143370
BJ1894559,clemastine,N,Y,Y,histamine receptor antagonist,HRH1,C[C@@](C1=CC=CC=C1)(C2=CC=C(C=C2)Cl)OCC[C@H]3CCCN3C,26987
BJ1895621,propiverine,N,Y,Y,acetylcholine receptor antagonist,CHRM1,CCCOC(C1=CC=CC=C1)(C2=CC=CC=C2)C(=O)OC3CCN(CC3)C,4942
BJ1894305,zolantidine,N,Y,Y,histamine receptor antagonist,,C1CCN(CC1)CC2=CC(=CC=C2)OCCCNC3=NC4=CC=CC=C4S3,91769
BJ1896186,asenapine,N,Y,Y,"dopamine receptor antagonist, serotonin receptor antagonist","DRD2, HRH1, HTR1A, HTR1B, HTR1D, HTR1E, HTR2A",CN1C[C@@H]2[C@@H](C1)C3=C(C=CC(=C3)Cl)OC4=CC=CC=C24.CN1C[C@H]2[C@H](C1)C3=C(C=CC(=C3)Cl)OC4=CC=CC=C24,73416848
BJ1896278,dynole-34-2,N,Y,Y,dynamin inhibitor,DNM1,CCCCCCCCNC(=O)/C(=C/C1=CN(C2=CC=CC=C21)CCCN(C)C)/C#N,44157463
BJ1898276,thiazovivin,N,Y,N,rho associated kinase inhibitor,,C1=CC=C(C=C1)CNC(=O)C2=CSC(=N2)NC3=NC=NC=C3,46209426
BJ1896220,AMG-548,Y,Y,Y,MAP kinase inhibitor,"MAPK11, MAPK12, MAPK13, MAPK14",CN1C(=O)C(=C(N=C1NC[C@H](CC2=CC=CC=C2)N)C3=CC=NC=C3)C4=CC5=CC=CC=C5C=C4,11167112
BJ1896405,CCT-031374,N,Y,Y,WNT signaling inhibitor,CTNNB1,C1CN2C3=CC=CC=C3N(C2=N1)CC(=O)C4=CC=C(C=C4)C5=CC=CC=C5,2853753
BJ1895651,nemonapride,N,Y,Y,dopamine receptor antagonist,"DRD2, DRD3, DRD4",C[C@@H]1[C@@H](CCN1CC2=CC=CC=C2)NC(=O)C3=CC(=C(C=C3OC)NC)Cl.C[C@H]1[C@H](CCN1CC2=CC=CC=C2)NC(=O)C3=CC(=C(C=C3OC)NC)Cl,76968489
BJ1896434,BETP,N,Y,Y,GLP receptor positive allosteric modulator,GLP1R,CCS(=O)C1=NC(=CC(=N1)C(F)(F)F)C2=CC(=CC=C2)OCC3=CC=CC=C3,49868481
BJ1896419,PPY-A,N,Y,N,Abl kinase inhibitor,"ABL1, BCR",CN(C)C(=O)C1=CN=CC(=C1)C2=CC3=C(NC=C3C4=CC=CC=C4OC)N=C2,16750094
BJ1896839,IKK-16,N,Y,Y,IKK inhibitor,IKBKB,C1CCN(C1)C2CCN(CC2)C(=O)C3=CC=C(C=C3)NC4=NC=CC(=N4)C5=CC6=CC=CC=C6S5,9549298
BJ1897660,3PO,N,Y,Y,phosphofructokinase inhibitor,PFKFB3,C1=CC(=CN=C1)/C=C/C(=O)C2=CC=NC=C2,5720233
