compound_name,Concentration (nM),Inhibition of cytopathicity (%),Non_infected cell viability(%),Duplicated
amineptine,10000.0,-0.04,97.19850388,0
aminocaproic-acid,100.0,1.68,98.56003751,0
aminoglutethimide,100.0,3.28,91.2667351,0
aminohydroxybutyric-acid,10000.0,-0.71,102.3515858,0
aminomethyltransferase,833.33,3.81,103.5948168,0
aminopentamide,833.33,0.24,98.30106961,0
aminophylline,10000.0,-0.09,112.3903903,0
aminopurvalanol-a,1.0,4.14,99.67699445,0
aminosalicylate,10000.0,0.97,95.25537332,0
aminothiazole,833.33,2.14,93.35126736,0
amiprilose,10000.0,-1.28,100.0764934,0
amisulpride,1.0,2.43,98.62064599,0
amitifadine,10000.0,3.82,98.97318988,0
amitraz,10000.0,0.1,104.0463048,0
amitriptyline,100.0,5.58,86.54044024,0
amlexanox,8.33,4.16,99.7762166,0
amlodipine,100.0,1.37,91.10545751,0
ammonium-perfluorocaprylate,1.0,2.29,98.17051309,0
AMN-082,100.0,3.81,94.98914643,0
amodiaquine,10000.0,44.72,84.92083961,0
amonafide,1.0,4.04,97.78237866,0
amorolfine,833.33,3.07,100.7439759,0
amoxicillin,833.33,-0.16,88.15680323,0
AMPA-(RS),100.0,4.04,95.2849941,0
ampalex,8.33,0.88,96.7534224,0
amperozide,1.0,-5.99,98.73654118,0
amphotericin-b,10000.0,3.31,99.5800203,0
ampicillin,8.33,1.76,102.7425111,0
ampiroxicam,10000.0,2.74,101.4578958,0
amprenavir,8.33,1.43,101.8794657,0
amprolium,1.0,7.17,100.1953065,0
ampyrone,10000.0,-1.12,90.4586589,0
amrinone,8.33,3.76,96.22572311,0
amrubicin,1.0,2.67,96.01582108,0
amsacrine,8.33,1.72,89.32109404,0
amthamine,833.33,0.97,109.8833917,0
amuvatinib,1.0,3.11,102.4347777,0
amygdalin,100.0,0.79,95.96913042,0
amyleine,8.33,0.02,99.84175108,0
AMZ30,8.33,-0.34,97.55349594,0
