smiles,logS,logS_lower_bound,logS_upper_bound,Capped_logS_lower_bound,Capped_logS_upper_bound
CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,-2.42,-3.61,-1.24,-3.61,-1.24
CC(C)Cc1ccc(C(C)C(=O)O)cc1.NCCCC[C@H](N)C(=O)O,-2.12,-2.85,-1.4,-2.85,-1.4
CS(=O)(=O)Nc1cc2occ(NC=O)c(=O)c2cc1Oc1ccccc1,-4.45,-5.07,-3.83,-5.07,-3.83
CCOc1ccc(-c2nn3ncccc3c2-c2ccc(S(C)(=O)=O)cc2)cc1,-4.14,-4.89,-3.4,-4.89,-3.4
O=C(O)CCNC(=O)c1ccc(/N=N/c2ccc(O)c(C(=O)O)c2)cc1,-2.8,-3.86,-1.73,-3.86,-1.73
CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.O.O.[Na+],-3.68,-4.77,-2.59,-4.77,-2.59
Cc1c(N(C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C,0.484,-0.402,1.37,-0.402,1.37
COc1ccc2cc([C@H](C)C(=O)OCCCCO[N+](=O)[O-])ccc2c1,-5.2,-6.07,-4.32,-6.07,-4.32
CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,-3.29,-3.99,-2.59,-3.99,-2.59
CC1(C)OC(c2ccc(S(N)(=O)=O)cc2)=C(c2cccc(F)c2)C1=O,-3.95,-4.63,-3.27,-4.63,-3.27
CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12.Cl,-2.68,-3.94,-1.42,-3.94,-1.42
C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,-4.18,-4.87,-3.5,-4.87,-3.5
