rank,compound_name,chembl_id,composite_score,ab_activity_z_max,cpe_activity_z_max,cp_morph_z_max,toxicity_z_max,flag_ab_toxicity,flag_cpe_toxicity,flag_cp_only,flag_ab_no_cpe
385,halofantrine,CHEMBL1107,2.227397889991073,2.9432727272727273,1.4019964285714286,2.446451138267054,2.713422451907597,True,False,False,False
386,AGN-192403,CHEMBL430112,2.22599413242508,2.636681818181818,2.7620348101265826,0.33253740550859834,2.042542014196011,True,True,False,False
388,masoprocol,CHEMBL313972,2.2173503661113463,1.6555909090909091,3.880772511848342,0.01402498867822771,2.245570483187427,True,True,False,False
390,napabucasin,CHEMBL64130,2.203785720902953,1.68625,2.9925601265822785,1.6613083513502072,13.016373279916326,True,True,False,True
393,chlorthalidone,CHEMBL1055,2.1998839068854164,3.065909090909091,2.1921250000000003,0.4833513526088981,0.46539308787924133,False,False,False,True
394,BAY-11-7082,CHEMBL403183,2.1931578344217217,-0.9555416666666666,6.05131990521327,0.7742326950153994,11.261636744380631,False,True,False,False
395,TAK-960,CHEMBL2392545,2.1876760294460453,0.3934583333333333,5.885092417061612,-1.618721353559665,11.55625220476546,False,True,False,False
397,tozadenant,CHEMBL2105747,2.179993108685191,0.7971363636363636,3.8948571428571426,1.515978530438942,1.5887706604690708,False,True,False,False
398,gilteritinib,CHEMBL3301622,2.1781103628435723,1.4052083333333334,3.32774644549763,1.4246422565559353,8.056518252782752,False,True,False,False
399,norcyclobenzaprine,CHEMBL1557167,2.1681371464864423,2.759318181818182,1.7648571428571427,1.7923350830815608,1.2048144313458247,False,False,False,True
401,pixantrone,CHEMBL167731,2.155087564924458,3.9856818181818183,0.4567816455696203,1.890510897119411,0.6428958241096909,False,False,False,True
402,SCH-900776,CHEMBL2386889,2.1481701589311477,2.636681818181818,1.0502928571428571,3.366901444006388,2.1454374420283817,True,False,False,False
404,KN-62,CHEMBL28324,2.145596309802553,2.5140454545454545,1.97874644549763,1.7423977489265938,0.752505128047591,False,False,False,True
405,JIB04,CHEMBL1982368,2.1404072901718982,0.06131818181818182,5.322476303317537,-0.06555251941194573,12.120774817884705,False,True,False,False
408,strychnine,CHEMBL227934,2.1358459077506247,1.6555909090909091,2.789539285714286,1.7889691491427335,1.9995660057490454,True,True,False,False
409,BAX-channel-blocker,CHEMBL1402326,2.1298643101157015,-0.05620833333333333,5.162714285714285,0.43630964581660114,12.935034099396704,False,True,False,False
410,Omaveloxolone (RTA-408),CHEMBL5308387,2.1287920822629807,-0.9810909090909091,7.282892405063293,-1.9596425806298625,16.71591023995263,False,True,False,False
411,go-6983,CHEMBL261491,2.1210050425080658,-0.33725,5.916328571428571,-0.5531319303168146,3.039901122987386,False,True,False,False
412,NSC-319726,CHEMBL1976486,2.1193501566965978,-1.0679583333333333,6.457298578199052,-0.18192970624844831,12.350417826126826,False,True,False,False
