chembl_id,compound_name,cp_morph_z_max,cp_morph_z_mean,ab_activity_z_max,ab_activity_z_mean,concentration_uM_min,concentration_uM_max,concentration_uM_nunique,cpe_activity_z_max,cpe_activity_z_mean,toxicity_z_max,toxicity_z_mean,concentration_uM_min_cpe,concentration_uM_max_cpe,concentration_uM_nunique_cpe,composite_score,flag_ab_toxicity,flag_cpe_toxicity,flag_cp_only,flag_ab_no_cpe,rank
CHEMBL1404,ranolazine,0.2012394323234252,0.2012394323234252,0.3065909090909091,0.3065909090909091,10.0,10.0,1.0,0.04057142857142857,-0.3399439724295742,1.854766760941861,0.9719910093657926,0.001,10.0,5.0,0.17911282152962013,False,False,False,False,3243
CHEMBL4303508,CP-673451,-0.4814772901354306,-0.4814772901354306,-0.168625,-0.168625,0.8333333333333334,0.8333333333333334,1.0,0.8570714285714285,0.07408636390905274,6.5708043089065145,1.4658817884991748,0.001,10.0,5.0,0.1790831134014853,False,False,False,False,3244
CHEMBL1455300,terreic-acid-(-),-0.20618773887022163,-0.20618773887022163,0.06131818181818182,0.06131818181818182,10.0,10.0,1.0,0.4890924170616114,-0.27988610971606825,0.3290210929379803,-0.1273705109583464,0.001,10.0,5.0,0.17892669177787296,False,False,False,False,3245
CHEMBL183906,SMI-4a,-0.4250951353139656,-0.4250951353139656,-0.3065909090909091,-0.3065909090909091,10.0,10.0,1.0,0.9635714285714285,0.26111064610954465,0.3250403907000811,-0.2932273684900008,0.001,10.0,5.0,0.17777318072941467,False,False,False,False,3246
CHEMBL1289230,tropisetron,-0.6353069472485621,-0.6353069472485621,0.24527272727272728,0.24527272727272728,10.0,10.0,1.0,0.5155107142857143,-0.14402419945493344,0.5942124804102356,0.18188463280919925,0.001,10.0,5.0,0.17725198717366422,False,False,False,False,3247
CHEMBL71263,ASA-404,-1.072207717798831,-1.072207717798831,-1.2876818181818181,-1.2876818181818181,10.0,10.0,1.0,2.261857142857143,0.6584080884961819,0.0944566975260944,-0.81880990662667,0.001,10.0,5.0,0.17522858631036387,False,False,False,False,3248
CHEMBL1923234,WP1066,-0.5389551502709353,-0.5389551502709353,-1.517625,-1.517625,0.8333333333333334,0.8333333333333334,1.0,2.2241424050632914,-0.5450064580530154,10.86849299739332,2.4351193321390303,0.001,10.0,5.0,0.1748159319711295,False,True,False,False,3249
CHEMBL1947204,AST-1306,-0.8350419930778148,-0.8350419930778148,0.24527272727272728,0.24527272727272728,10.0,10.0,1.0,0.6085714285714287,-0.48462479242905987,10.635726114291192,4.562725724467138,0.001,10.0,5.0,0.1745292637220994,False,False,False,False,3250
CHEMBL2170739,ER-27319,-1.4729152537576842,-1.4729152537576842,-0.7971363636363636,-0.7971363636363636,10.0,10.0,1.0,1.967714285714286,-0.00852925811814913,12.474983337577793,4.425790547253117,0.001,10.0,5.0,0.17364811807963204,False,True,False,False,3251
CHEMBL27220,cilomilast,1.308814028013567,1.308814028013567,0.0,0.0,10.0,10.0,1.0,-0.22057109004739336,-0.9556168400709615,2.320712794911732,0.9553201076993965,0.001,10.0,5.0,0.17353436958375607,False,False,False,False,3252
CHEMBL4303164,OXA-06,-0.7931139992826916,-0.7931139992826916,-1.5329545454545455,-1.5329545454545455,10.0,10.0,1.0,2.363285714285714,0.012648299238106554,1.7055928547591415,0.4570094905498346,0.001,10.0,5.0,0.17350966767592907,False,True,False,False,3253
CHEMBL33211,isoxepac,0.640064033761034,0.640064033761034,0.06131818181818182,0.06131818181818182,10.0,10.0,1.0,0.05114691943127962,-1.8038989343777587,0.5477077315641126,-0.07341586013973933,0.001,10.0,5.0,0.17299884725199138,False,False,False,False,3254
CHEMBL1234616,coenzyme-I,-0.40984064117945296,-0.40984064117945296,0.06131818181818182,0.06131818181818182,10.0,10.0,1.0,0.5754028436018958,-0.5087295397787166,1.8504908941780838,0.6404169330816336,0.001,10.0,5.0,0.1727202819321404,False,False,False,False,3255
CHEMBL1797936,C646,0.2613456974044705,0.2613456974044705,-0.6131818181818182,-0.6131818181818182,10.0,10.0,1.0,0.9142511848341234,-0.5131160288559601,0.48836283748030723,-0.1953813783709295,0.001,10.0,5.0,0.17269688614181616,False,False,False,False,3256
CHEMBL12,diazepam,0.18348292600761898,0.18348292600761898,-0.5518636363636363,-0.5518636363636363,10.0,10.0,1.0,0.8913035714285714,0.21498252423232178,1.5382836417173251,0.2254299450600039,0.001,10.0,5.0,0.17247255922749785,False,False,False,False,3257
CHEMBL4226052,ARV-825,-0.9323475616297958,-0.9323475616297958,0.3679090909090909,0.3679090909090909,10.0,10.0,1.0,0.5293544303797469,-0.5169291443912137,11.510566089365843,3.3629321007426087,0.001,10.0,5.0,0.17243589618957597,False,False,False,False,3258
CHEMBL50267,"5,7-dichlorokynurenic-acid",-0.6701408361905968,-0.6701408361905968,-0.06131818181818182,-0.06131818181818182,10.0,10.0,1.0,0.826642857142857,-0.39515462462398127,0.8972334287554213,0.2562697615746731,0.001,10.0,5.0,0.17210170289175072,False,False,False,False,3259
CHEMBL14276,SB-228357,-0.555586087496377,-0.555586087496377,-0.3065909090909091,-0.3065909090909091,10.0,10.0,1.0,1.0142857142857142,0.8157600594345364,0.8620418508653,0.26872134658653907,0.001,10.0,5.0,0.17196070457864665,False,False,False,False,3260
CHEMBL1397886,loreclezole,0.20458286696543856,0.20458286696543856,0.12263636363636364,0.12263636363636364,10.0,10.0,1.0,0.20285714285714285,-0.5917711143439919,0.29102958125426237,-0.21695840306224068,0.001,10.0,5.0,0.1711139759904903,False,False,False,False,3261
CHEMBL37858,sarafloxacin,1.0690800483668028,1.0690800483668028,1.2876818181818181,1.2876818181818181,10.0,10.0,1.0,-1.394642857142857,-2.0180573157186563,-0.7813145767799915,-1.311077528830411,0.001,10.0,5.0,0.17103159408894497,False,False,False,False,3262
CHEMBL1972527,CYM-50769,0.09015283171459981,0.09015283171459981,0.18395454545454545,0.18395454545454545,10.0,10.0,1.0,0.1975321428571429,-0.833086388719865,1.433173211689678,0.14957375568457695,0.001,10.0,5.0,0.17062524166759532,False,False,False,False,3263
CHEMBL1364808,PIT,0.5624238594617373,0.5624238594617373,-0.5518636363636363,-0.5518636363636363,10.0,10.0,1.0,0.6936800947867299,-0.223371042525475,0.32609223455989866,-0.10411840376661116,0.001,10.0,5.0,0.16921135526158487,False,False,False,False,3264
CHEMBL1738797,alectinib,0.5166149257458229,0.5166149257458229,-0.3679090909090909,-0.3679090909090909,10.0,10.0,1.0,0.5324999999999999,0.01550945630468874,1.2742837203869923,0.9062487241938731,0.001,10.0,5.0,0.16915934878552819,False,False,False,False,3265
CHEMBL524,methoxamine,-1.298187347797866,-1.298187347797866,-0.49054545454545456,-0.49054545454545456,10.0,10.0,1.0,1.5624493670886077,0.46572464999185836,-0.1665765958985203,-0.9557702471056168,0.001,10.0,5.0,0.16912409545768803,False,False,False,False,3266
CHEMBL268501,proquazone,0.05137281371719221,0.05137281371719221,0.06131818181818182,0.06131818181818182,10.0,10.0,1.0,0.3347142857142857,-0.2993156443097967,1.8482588421749377,0.5886015269292785,0.001,10.0,5.0,0.16868754975642544,False,False,False,False,3267
CHEMBL507001,dioscin,-0.30841540974861387,-0.30841540974861387,0.3065909090909091,0.3065909090909091,10.0,10.0,1.0,0.2687857142857143,-1.2495584312624806,12.843686239302407,3.531655321862465,0.001,10.0,5.0,0.1684675674009266,False,False,False,False,3268
CHEMBL442329,monosodium-alpha-luminol,-0.4422038755450452,-0.4422038755450452,-0.06131818181818182,-0.06131818181818182,10.0,10.0,1.0,0.7032701421800949,-0.1910373006779051,1.640671228045207,0.21585492619474925,0.001,10.0,5.0,0.1683400090357562,False,False,False,False,3269
CHEMBL1522,ESZOPICLONE,-0.7987327238594413,-0.7987327238594413,-0.49054545454545456,-0.49054545454545456,10.0,10.0,1.0,1.3104571428571428,0.7213102440801145,0.9953443804281445,-0.08861000875172102,0.001,10.0,5.0,0.16821813055278706,False,False,False,False,3270
CHEMBL1187417,benzalkonium,-0.18334116844713633,-0.18334116844713633,-0.18395454545454545,-0.18395454545454545,10.0,10.0,1.0,0.6958449367088609,-0.5096527594422495,2.1432051848969516,0.381810719929996,0.001,10.0,5.0,0.16808792281229892,False,False,False,False,3271
CHEMBL1200865,loteprednol,1.2066581844198954,1.2066581844198954,-0.12263636363636364,-0.12263636363636364,10.0,10.0,1.0,-0.06085714285714283,-0.801751896891578,0.31416198250730304,-0.23539691165107662,0.001,10.0,5.0,0.16793423428657647,False,False,False,False,3272
CHEMBL1265,adapalene,-1.0949164552776969,-1.0949164552776969,-0.12263636363636364,-0.12263636363636364,10.0,10.0,1.0,1.0888357142857141,0.5385968069898786,1.215434252215824,0.17951019148571407,0.001,10.0,5.0,0.16749644920420081,False,False,False,False,3273
