chembl_id,admet_score,solubility_score,logP_score,pampa_score,pgp_score,herg_score,ames_score,cyp_score,has_admet
CHEMBL2103876,0.6314395,0.30600000000000005,0.202394999999999,1.0,0.0,1.0,1.0,0.5,True
CHEMBL2103883,0.47500000000000003,0.0,0.0,0.0,1.0,1.0,1.0,0.75,True
CHEMBL2105629,0.7836375000000002,0.31400000000000006,0.583375000000002,1.0,1.0,1.0,1.0,0.625,True
CHEMBL2105648,0.44627499999999987,0.0,0.08774999999999844,0.0,1.0,1.0,1.0,0.375,True
CHEMBL2105665,0.39936499999999997,0.0,0.618649999999999,0.0,1.0,1.0,0.0,0.875,True
CHEMBL2105681,0.554863,0.15600000000000006,0.6116299999999995,0.0,1.0,1.0,1.0,0.625,True
CHEMBL2105704,0.7037025000000001,0.528,0.7310249999999996,1.0,1.0,0.0,1.0,0.75,True
CHEMBL2105708,0.7502544999999999,0.736,0.4055449999999987,1.0,0.0,1.0,1.0,0.625,True
CHEMBL2105709,0.5226,0.23800000000000007,0.0,0.0,1.0,1.0,1.0,0.75,True
CHEMBL2105712,0.5342625000000001,0.648,0.6716250000000001,0.0,1.0,0.0,1.0,0.875,True
CHEMBL2105717,0.4762799999999999,0.07400000000000002,0.23979999999999912,1.0,0.0,1.0,0.0,0.875,True
CHEMBL2105719,0.41183999999999993,0.2880000000000001,0.5423999999999989,0.5,0.0,0.0,1.0,0.5,True
CHEMBL2105729,0.7816775,0.392,0.4077749999999991,1.0,1.0,1.0,1.0,0.625,True
CHEMBL2105756,0.5691195,0.0,0.3161949999999991,1.0,1.0,1.0,0.0,0.875,True
CHEMBL2105758,0.49266999999999994,0.0,0.05169999999999875,0.0,1.0,1.0,1.0,0.875,True
CHEMBL2105759,0.923992,0.858,0.6489199999999999,1.0,1.0,1.0,1.0,0.875,True
CHEMBL2106643,0.6479,0.8019999999999999,0.0,0.0,1.0,1.0,1.0,0.875,True
CHEMBL2107143,0.6891950000000001,1.0,0.01695000000000002,0.0,1.0,1.0,1.0,0.875,True
CHEMBL2107313,0.4924974999999999,0.0,0.5499749999999992,0.0,1.0,1.0,1.0,0.375,True
CHEMBL2107358,0.8208265,0.978,0.6272649999999995,0.5,1.0,1.0,1.0,0.625,True
CHEMBL2107359,0.5044465,0.43200000000000005,0.8054649999999997,0.0,1.0,0.0,1.0,0.875,True
CHEMBL2107818,0.523545,0.19399999999999995,0.4724500000000005,0.5,1.0,1.0,0.0,0.875,True
CHEMBL2107823,0.7547915000000001,0.5900000000000001,0.6179149999999993,0.5,1.0,1.0,1.0,0.75,True
CHEMBL2107831,0.6375000000000001,0.0,0.0,1.0,1.0,1.0,1.0,0.375,True
CHEMBL2107856,,,,0.5,0.5,0.5,0.5,0.5,False
CHEMBL2107872,,,,0.5,0.5,0.5,0.5,0.5,False
CHEMBL2108280,,,,0.5,0.5,0.5,0.5,0.5,False
CHEMBL2108287,,,,0.5,0.5,0.5,0.5,0.5,False
CHEMBL2108324,,,,0.5,0.5,0.5,0.5,0.5,False
CHEMBL2108356,,,,0.5,0.5,0.5,0.5,0.5,False
CHEMBL2108557,,,,0.5,0.5,0.5,0.5,0.5,False
CHEMBL2108585,,,,0.5,0.5,0.5,0.5,0.5,False
CHEMBL2108702,,,,0.5,0.5,0.5,0.5,0.5,False
CHEMBL2109150,,,,0.5,0.5,0.5,0.5,0.5,False
CHEMBL2109266,,,,0.5,0.5,0.5,0.5,0.5,False
CHEMBL2109267,,,,0.5,0.5,0.5,0.5,0.5,False
CHEMBL2109328,,,,0.5,0.5,0.5,0.5,0.5,False
CHEMBL2110367,0.7727600000000001,0.506,0.8406000000000005,0.5,1.0,1.0,1.0,0.875,True
CHEMBL2110580,0.5081450000000001,0.45,0.9314499999999999,0.0,1.0,1.0,0.0,0.75,True
CHEMBL2110725,0.6032324999999998,0.025999999999999978,0.35532499999999856,1.0,0.0,1.0,1.0,0.625,True
CHEMBL2110732,0.4261224999999999,0.4,0.3362249999999989,0.5,0.0,0.0,1.0,0.625,True
CHEMBL2111086,0.6176025,1.0,0.8010250000000003,0.0,1.0,1.0,0.0,0.875,True
CHEMBL217092,0.6960125,0.41,0.6401249999999994,1.0,0.0,1.0,1.0,0.5,True
CHEMBL2180604,0.6374815,0.184,0.7568149999999996,1.0,1.0,1.0,0.0,0.75,True
CHEMBL22,0.6620400000000001,0.528,0.6894,0.0,1.0,1.0,1.0,0.875,True
CHEMBL2205807,0.5976890000000001,0.8960000000000001,0.9348899999999998,0.0,1.0,1.0,0.0,0.75,True
CHEMBL2218878,0.6180855000000001,0.514,0.2778550000000005,0.0,1.0,1.0,1.0,0.875,True
CHEMBL221959,0.8806195,0.96,0.7611949999999998,1.0,1.0,0.5,1.0,0.875,True
CHEMBL2219776,,,,0.5,0.5,0.5,0.5,0.5,False
CHEMBL2220486,0.736335,0.23399999999999999,0.5203499999999992,1.0,0.5,1.0,1.0,0.875,True
CHEMBL223360,0.4958094999999999,0.092,0.3990949999999993,0.0,1.0,1.0,1.0,0.375,True
CHEMBL225072,0.45686000000000004,0.32599999999999996,0.5416000000000001,0.0,1.0,1.0,0.0,0.875,True
CHEMBL2316582,0.7147844999999999,0.472,0.45384499999999894,1.0,0.0,1.0,1.0,0.75,True
CHEMBL2348780,0.5831775,0.51,0.9367749999999998,0.0,0.0,1.0,1.0,0.875,True
CHEMBL2360464,0.46430000000000005,0.634,0.0,0.0,1.0,1.0,0.0,0.875,True
