chembl_id,drug_name,smiles,max_phase,evidence_types,linked_genes,linked_pathways,linked_moas,n_protein_links,n_pathway_links,n_moa_links,n_known_links,n_records
CHEMBL3833344,GANCOTAMAB,,2.0,pathway,TOP2A,R-HSA-1362277;R-HSA-4615885,,0,4,0,0,4
CHEMBL3833386,GALINPEPIMUT-S,,3.0,known_aml_drug;pathway;protein,WT1,R-HSA-9690406;R-HSA-9831926,"bp(MOA:""Wilms tumor protein vaccine antigen"")",1,4,0,1,6
CHEMBL414804,OXALIPLATIN,,,moa,,,DNA inhibitor,0,0,1,0,1
CHEMBL4297235,OMBIPEPIMUT-S,,3.0,pathway;protein,WT1,R-HSA-9690406;R-HSA-9831926,,1,4,0,0,5
CHEMBL4297573,TAGRAXOFUSP,,,known_aml_drug,,,"bp(MOA:""Interleukin-3 receptor subunit alpha binding agent""); bp(MOA:""Elongation factor 2 inhibitor"")",0,0,0,1,1
CHEMBL4297574,TEPRASIRAN,,2.0,pathway;protein,TP53,R-HSA-111448;R-HSA-139915;R-HSA-1912408;R-HSA-2559580;R-HSA-2559584;R-HSA-2559585;R-HSA-2559586;R-HSA-3232118;R-HSA-349425;R-HSA-390471;R-HSA-5620971;R-HSA-5628897;R-HSA-5689880;R-HSA-5689896;R-HSA-5693565;R-HSA-6785807;R-HSA-6796648;R-HSA-6803204;R-HSA-6803205;R-HSA-6803207;R-HSA-6803211;R-HSA-6804114;R-HSA-6804115;R-HSA-6804116;R-HSA-6804754;R-HSA-6804756;R-HSA-6804757;R-HSA-6804758;R-HSA-6804759;R-HSA-6804760;R-HSA-6807070;R-HSA-6811555;R-HSA-69473;R-HSA-69481;R-HSA-69541;R-HSA-69895;R-HSA-8852276;R-HSA-8853884;R-HSA-8941855;R-HSA-8943724;R-HSA-9723905;R-HSA-9725370;R-HSA-9758274;R-HSA-9819196;R-HSA-983231;R-HSA-9833482,,1,90,0,0,91
CHEMBL4297744,ELX-02,,2.0,pathway;protein,RPL5,R-HSA-156827;R-HSA-156902;R-HSA-1799339;R-HSA-192823;R-HSA-2408557;R-HSA-6791226;R-HSA-72689;R-HSA-72706;R-HSA-72764;R-HSA-9010553;R-HSA-9633012;R-HSA-975956;R-HSA-975957,,1,13,0,0,14
CHEMBL4297764,HETROMBOPAG OLAMINE,,3.0,pathway;protein,MPL,R-HSA-76009,,1,1,0,0,2
CHEMBL4297775,KAI-1678,,2.0,pathway;protein,PRKCE,R-HSA-114508;R-HSA-1250196;R-HSA-1489509;R-HSA-2029485;R-HSA-418597,,1,10,0,0,11
CHEMBL4297789,MT-3724,,2.0,pathway;protein,RPL5,R-HSA-156827;R-HSA-156902;R-HSA-1799339;R-HSA-192823;R-HSA-2408557;R-HSA-6791226;R-HSA-72689;R-HSA-72706;R-HSA-72764;R-HSA-9010553;R-HSA-9633012;R-HSA-975956;R-HSA-975957,,1,13,0,0,14
CHEMBL4297985,MAGROLIMAB,,,known_aml_drug,,,"bp(MOA:""Leukocyte surface antigen CD47 inhibitor"")",0,0,0,1,1
CHEMBL4298119,OLINVACIMAB,,2.0,pathway;protein,KDR,R-HSA-194306;R-HSA-195399;R-HSA-216083;R-HSA-4420097;R-HSA-5218921;R-HSA-9673768;R-HSA-9856530,,1,14,0,0,15
CHEMBL4650288,FLYSYN,,1.0,pathway,FLT3,R-HSA-109704;R-HSA-1257604;R-HSA-2219530;R-HSA-5673001;R-HSA-6811558;R-HSA-9607240;R-HSA-9645135;R-HSA-9702509;R-HSA-9702518;R-HSA-9702569;R-HSA-9702577;R-HSA-9702581;R-HSA-9702590;R-HSA-9702596;R-HSA-9702600;R-HSA-9702605;R-HSA-9702614;R-HSA-9702620;R-HSA-9702624;R-HSA-9702632;R-HSA-9702636;R-HSA-9702998;R-HSA-9703009;R-HSA-9703648;R-HSA-9706369;R-HSA-9706374;R-HSA-9706377,,0,54,0,0,54
CHEMBL4650295,AMG553,,1.0,pathway,FLT3,R-HSA-109704;R-HSA-1257604;R-HSA-2219530;R-HSA-5673001;R-HSA-6811558;R-HSA-9607240;R-HSA-9645135;R-HSA-9702509;R-HSA-9702518;R-HSA-9702569;R-HSA-9702577;R-HSA-9702581;R-HSA-9702590;R-HSA-9702596;R-HSA-9702600;R-HSA-9702605;R-HSA-9702614;R-HSA-9702620;R-HSA-9702624;R-HSA-9702632;R-HSA-9702636;R-HSA-9702998;R-HSA-9703009;R-HSA-9703648;R-HSA-9706369;R-HSA-9706374;R-HSA-9706377,,0,54,0,0,54
CHEMBL4650374,APG-2575,,2.0,pathway,BCL2,R-HSA-111447;R-HSA-111453;R-HSA-6785807;R-HSA-844455;R-HSA-9018519;R-HSA-9634638;R-HSA-9818030;R-HSA-9824594,,0,16,0,0,16
CHEMBL4650387,CDX-301,,2.0,pathway,FLT3,R-HSA-109704;R-HSA-1257604;R-HSA-2219530;R-HSA-5673001;R-HSA-6811558;R-HSA-9607240;R-HSA-9645135;R-HSA-9702509;R-HSA-9702518;R-HSA-9702569;R-HSA-9702577;R-HSA-9702581;R-HSA-9702590;R-HSA-9702596;R-HSA-9702600;R-HSA-9702605;R-HSA-9702614;R-HSA-9702620;R-HSA-9702624;R-HSA-9702632;R-HSA-9702636;R-HSA-9702998;R-HSA-9703009;R-HSA-9703648;R-HSA-9706369;R-HSA-9706374;R-HSA-9706377,,0,54,0,0,54
CHEMBL5314346,VERTEPORFIN,,,moa,,,DNA inhibitor,0,0,1,0,1
CHEMBL578,ENALAPRIL,,,known_aml_drug,,,,0,0,0,1,1
CHEMBL70,MORPHINE,,,known_aml_drug,,,,0,0,0,1,1
CHEMBL895,NALBUPHINE,,,known_aml_drug,,,,0,0,0,1,1
CHEMBL90555,VINCRISTINE,,,known_aml_drug,,,,0,0,0,1,1
