compound_name,chembl_id,morphology score,is_CP_hit
BCTC,CHEMBL441472,0.33,False
BCX-1470,CHEMBL2220483,0.58,True
BD-1008,CHEMBL20377,0.36,False
BD-1047,CHEMBL143360,0.21,False
BD-1063,CHEMBL73824,0.16,False
BE-2254,CHEMBL1515808,0.01,False
BET-BAY-002,CHEMBL3785668,-0.11,False
"BETAMETHASONE 17,21-DIPROPIONATE",CHEMBL1200384,0.14,False
BETAMETHASONE VALERATE,CHEMBL1497,-0.06,False
BETP,CHEMBL4303527,0.64,True
BGT226,CHEMBL3545096,0.12,False
BHQ,CHEMBL480626,-0.18,False
BI-224436,CHEMBL3259907,0.02,False
BI-2536,CHEMBL513909,-0.31,False
BI-78D3,CHEMBL508280,0.39,False
BI-847325,CHEMBL3699142,-0.15,False
BI-D1870,CHEMBL573107,0.16,False
BIBN4096,CHEMBL207197,0.04,False
BIBR-1532,CHEMBL27323,0.23,False
BIBU-1361,CHEMBL1358485,-0.27,False
BIBX-1382,CHEMBL258940,0.04,False
BIIB021,CHEMBL467399,0.26,False
BIMU-8,CHEMBL324057,0.02,False
BINA,CHEMBL593013,0.13,False
BIO-5192,CHEMBL4303683,0.16,False
BIRT-377,CHEMBL367808,0.25,False
BIX-01294,CHEMBL569864,0.46,False
BIX-02188,CHEMBL4303171,-0.13,False
BIX-02189,CHEMBL2381342,-0.27,False
BL-5583,CHEMBL312607,0.07,False
BLU9931,CHEMBL4068896,0.57,True
BML-190,CHEMBL72631,0.13,False
BML-284,CHEMBL4303671,-0.02,False
BMS-182874,CHEMBL267458,0.12,False
BMS-191011,CHEMBL45349,0.59,True
BMS-191095,CHEMBL11594,0.45,False
BMS-265246,CHEMBL310840,0.38,False
BMS-299897,CHEMBL247471,0.03,False
BMS-309403,CHEMBL247920,0.07,False
BMS-345541,CHEMBL471496,-0.35,False
BMS-470539,CHEMBL14642,0.11,False
BMS-536924,CHEMBL401930,0.02,False
BMS-566419,CHEMBL229008,0.57,True
BMS-587101,CHEMBL214529,0.28,False
BMS-599626,CHEMBL1645462,-0.1,False
BMS-649,CHEMBL112715,-0.01,False
BMS-688521,CHEMBL1098726,0.02,False
BMS-690514,CHEMBL3545396,-0.24,False
BMS-707035,CHEMBL486226,0.05,False
BMS-777607,CHEMBL460702,0.36,False
BMS-806,CHEMBL337301,-0.07,False
BMS-817378,CHEMBL4303546,0.14,False
BMS-833923,CHEMBL3545403,0.21,False
BMS-863233,CHEMBL2030402,0.11,False
BMS-983970,CHEMBL4303322,0.18,False
BMS-CCR2-22,CHEMBL273083,0.07,False
BMY-14802,CHEMBL60859,0.09,False
BMY-45778,CHEMBL125569,0.19,False
BMY-7378,CHEMBL543741,-0.29,False
BNC105,CHEMBL1852492,-0.14,False
BNTX,CHEMBL252172,0.73,True
BP-554,CHEMBL1401324,0.08,False
BP-897,CHEMBL540612,-0.01,False
BQ-123,CHEMBL314691,0.16,False
BQ-788,CHEMBL1515091,0.1,False
BQU57,CHEMBL3927655,0.05,False
BRD4770,CHEMBL3970748,0.03,False
BRD7389,CHEMBL4303592,-0.01,False
BRD9876,CHEMBL4303295,0.1,False
BRL-15572,CHEMBL534232,-0.01,False
BRL-26314,CHEMBL4303469,0.01,False
BRL-37344,CHEMBL284782,-0.07,False
BRL-44408,CHEMBL216097,0.03,False
BRL-50481,CHEMBL484928,0.04,False
BRL-52537,CHEMBL71294,0.17,False
BRL-54443,CHEMBL1371156,0.21,False
BS-181,CHEMBL1801932,0.71,True
BTB06584,CHEMBL4303674,0.25,False
BTB1,CHEMBL1990168,-0.05,False
BTS,CHEMBL1625728,0.15,False
