inchikey,chembl_id,drug_name,smiles,phase,n_protein_links,n_unique_genes,n_pathway_links,n_unique_pathways,n_moa_links,n_unique_moa,max_phase,n_unique_genes_log,n_unique_pathways_log,n_unique_moa_log,mechanistic_score,phase_bonus,CYP3A4_p0,CYP3A4_p1,CYP3A4_inhibition,AMES_p0,AMES_p1,AMES_mutagenic,BBB_p0,BBB_p1,BBB_penetration,hERG_p0,hERG_p1,hERG_inhibition,PAMPA_p0,PAMPA_p1,PAMPA_permeability,logS,logS_lower_bound,logS_upper_bound,Capped_logS_lower_bound,Capped_logS_upper_bound,logP,CYP2C19_p0,CYP2C19_p1,CYP2C19_inhibition,CYP2D6_p0,CYP2D6_p1,CYP2D6_inhibition,CYP1A2_p0,CYP1A2_p1,CYP1A2_inhibition,CYP2C9_p0,CYP2C9_p1,CYP2C9_inhibition,PGP_p0,PGP_p1,PGP_inhibition,admet_penalty,logS_norm,logP_norm,admet_reg_bonus,mechanistic_score_norm,overall_score,assay_top_uM,assay_series_uM
MYYIMZRZXIQBGI-HVIRSNARSA-N,CHEMBL1200774,FLUPREDNISOLONE,C[C@]12C=CC(=O)C=C1[C@@H](F)C[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.516,0.0994,0.0,0.663,0.0422,0.0,0.0822,0.627,1,0.145,0.288,1.0,0.561,0.101,0.0,-3.8,-4.49,-3.12,-4.49,-3.12,1.5056,0.441,0.112,0.0,0.432,0.157,0.0,0.585,0.039,0.0,0.316,0.192,0.0,0.564,0.0707,0.0,1.0,0.525,0.8764000000000001,0.14014000000000001,0.0,-0.001478999999999997,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
PTRATZCAGVBFIQ-UHFFFAOYSA-N,CHEMBL2205807,ABAMETAPIR,Cc1ccc(-c2ccc(C)cn2)nc1,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.309,0.207,0.0,0.0824,0.408,1.0,0.252,0.125,0,0.503,0.111,0.0,0.379,0.228,0.0,-1.52,-2.45,-0.598,-2.45,-0.598,2.760440000000001,0.894,0.0107,0.0,0.276,0.249,0.5,0.284,0.148,0.0,0.571,0.0723,0.0,0.408,0.132,0.0,1.15,0.81,0.8098899999999998,0.161989,0.0,-0.0015766499999999989,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
YNDXUCZADRHECN-JNQJZLCISA-N,CHEMBL1504,TRIAMCINOLONE ACETONIDE,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.328,0.178,0.0,0.442,0.0795,0.0,0.176,0.235,1,0.134,0.301,1.0,0.53,0.11,0.0,-4.09,-5.02,-3.16,-5.02,-3.16,2.4188000000000005,0.713,0.0375,0.0,0.645,0.0865,0.0,0.607,0.0352,0.0,0.521,0.0862,0.0,0.902,0.00887,0.0,1.0,0.48875,0.8952999999999999,0.13840499999999997,0.0,-0.0017392500000000032,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
FWFVLWGEFDIZMJ-FOMYWIRZSA-N,CHEMBL1200635,HYDROCORTAMATE HYDROCHLORIDE,CCN(CC)CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.891,0.0152,0.0,0.749,0.031,0.0,0.158,0.439,1,0.0751,0.398,1.0,0.458,0.191,0.0,-3.59,-4.33,-2.85,-4.33,-2.85,2.6743,0.539,0.0851,0.0,0.728,0.0655,0.0,0.637,0.0326,0.0,0.709,0.05,0.0,0.657,0.0516,0.0,1.0,0.55125,0.831425,0.1382675,0.0,-0.001759875000000001,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
VAOCPAMSLUNLGC-UHFFFAOYSA-N,CHEMBL1200869,METRONIDAZOLE HYDROCHLORIDE,Cc1ncc([N+](=O)[O-])n1CCO,,0,0,0,0,2,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.596,0.0734,0.0,0.0425,0.703,1.0,0.129,0.426,1,0.656,0.0678,0.0,0.275,0.286,0.5,-1.15,-1.75,-0.557,-1.75,-0.557,0.0920199999999999,0.805,0.0217,0.0,0.59,0.107,0.0,0.48,0.0634,0.0,0.711,0.0465,0.0,0.758,0.0209,0.0,1.0,0.85625,0.5230049999999999,0.1379255,0.0,-0.0018111749999999982,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
UGJWRPJDTDGERK-UHFFFAOYSA-N,CHEMBL260046,EVOFOSFAMIDE,Cn1c(COP(=O)(NCCBr)NCCBr)cnc1[N+](=O)[O-],,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.468,0.109,0.0,0.0569,0.555,1.0,0.234,0.18,0,0.528,0.0953,0.0,0.443,0.174,0.0,-1.29,-1.79,-0.784,-1.79,-0.784,1.922,0.587,0.0682,0.0,0.345,0.22,0.5,0.163,0.263,0.5,0.74,0.0365,0.0,0.442,0.12,0.0,1.2999999999999998,0.83875,0.9804999999999999,0.181925,0.0,-0.0019612499999999964,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
CSMVOZKEWSOFER-RQNOJGIXSA-N,CHEMBL2364605,CEBRANOPADOL,CN(C)[C@]1(c2ccccc2)CC[C@]2(CC1)OCCc1c3cc(F)ccc3[nH]c12,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.433,0.134,0.0,0.37,0.0843,0.0,0.0499,0.867,1,0.317,0.179,0.0,0.27,0.389,0.5,-5.53,-6.03,-5.03,-6.03,-5.03,5.106100000000005,0.23,0.254,0.5,0.0929,0.523,1.0,0.43,0.0695,0.0,0.521,0.097,0.0,0.347,0.141,0.0,0.44999999999999996,0.30874999999999997,0.22347499999999876,0.053222499999999874,0.0,-0.002141625000000017,3.0,"[3.0, 1.0, 0.3333333333333333, 0.1111111111111111, 0.037037037037037035, 0.012345679012345678, 0.00411522633744856, 0.0013717421124828531, 0.0004572473708276177, 0.00015241579027587258]"
BDSYKGHYMJNPAB-LICBFIPMSA-N,CHEMBL1200908,HALOBETASOL PROPIONATE,CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.076,0.521,1.0,0.766,0.0223,0.0,0.000121,0.968,1,0.419,0.133,0.0,0.313,0.271,0.5,-5.86,-6.54,-5.18,-6.54,-5.18,4.051100000000004,0.65,0.0482,0.0,0.197,0.324,1.0,0.53,0.0481,0.0,0.491,0.106,0.0,0.957,8.93e-05,0.0,0.6,0.26749999999999996,0.4872249999999989,0.07547249999999989,0.0,-0.0021791250000000166,3.0,"[3.0, 1.0, 0.3333333333333333, 0.1111111111111111, 0.037037037037037035, 0.012345679012345678, 0.00411522633744856, 0.0013717421124828531, 0.0004572473708276177, 0.00015241579027587258]"
GZKLJWGUPQBVJQ-UHFFFAOYSA-N,CHEMBL12713,SERTINDOLE,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.445,0.137,0.0,0.745,0.0287,0.0,0.0887,0.54,1,0.684,0.0514,0.0,0.205,0.449,1.0,-4.76,-5.67,-3.86,-5.67,-3.86,4.627600000000004,0.66,0.0514,0.0,0.482,0.154,0.0,0.0639,0.465,1.0,0.419,0.117,0.0,0.0648,0.255,1.0,0.6,0.405,0.3430999999999991,0.07480999999999992,0.0,-0.002278500000000012,3.0,"[3.0, 1.0, 0.3333333333333333, 0.1111111111111111, 0.037037037037037035, 0.012345679012345678, 0.00411522633744856, 0.0013717421124828531, 0.0004572473708276177, 0.00015241579027587258]"
BRCHZKBUGSKTND-FQEVSTJZSA-N,CHEMBL5095034,SOVLEPLENIB,CS(=O)(=O)N1CCC(c2ccc(-c3ncc4nccnc4c3NC[C@@H]3CNCCO3)cc2)CC1,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.883,0.011,0.0,0.0442,0.667,1.0,0.359,0.0565,0,0.303,0.179,0.0,0.5,0.11,0.0,-2.97,-3.81,-2.12,-3.81,-2.12,2.2311,0.396,0.128,0.0,0.856,0.0296,0.0,0.914,0.00322,0.0,0.292,0.209,0.5,0.559,0.085,0.0,1.15,0.6287499999999999,0.942225,0.1570975,0.0,-0.0023103749999999978,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
DLGOEMSEDOSKAD-UHFFFAOYSA-N,CHEMBL513,CARMUSTINE,O=NN(CCCl)C(=O)NCCCl,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.442,0.123,0.0,0.0274,0.746,1.0,0.104,0.434,1,0.624,0.075,0.0,0.618,0.0652,0.0,-1.9,-2.65,-1.14,-2.65,-1.14,1.157,0.461,0.101,0.0,0.497,0.134,0.0,0.223,0.183,0.5,0.411,0.134,0.0,0.832,0.0212,0.0,1.15,0.7625,0.78925,0.155175,0.0,-0.002598749999999997,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
KTAPWKXZMODIJZ-UHFFFAOYSA-N,CHEMBL1200400,AZATHIOPRINE SODIUM,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[n-]c12,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.874,0.0123,0.0,0.0672,0.495,1.0,0.296,0.0849,0,0.898,0.0182,0.0,0.593,0.0823,0.0,-3.0,-3.79,-2.21,-3.79,-2.21,0.7748999999999997,0.851,0.014,0.0,0.621,0.0967,0.0,0.454,0.0621,0.0,0.904,0.00779,0.0,0.564,0.0666,0.0,1.0,0.625,0.6937249999999999,0.1318725,0.0,-0.0027191249999999985,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
JXLYSJRDGCGARV-CFWMRBGOSA-N,CHEMBL378544,VINBLASTINE SULFATE,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.263,0.243,0.5,0.847,0.0146,0.0,0.0916,0.472,1,0.387,0.143,0.0,0.0239,0.936,1.0,-4.61,-5.06,-4.15,-5.06,-4.15,3.990900000000003,0.618,0.0569,0.0,0.0219,0.751,1.0,0.661,0.028,0.0,0.72,0.0495,0.0,0.161,0.181,1.0,0.75,0.42374999999999996,0.5022749999999992,0.09260249999999992,0.0,-0.0029846250000000103,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
SOQJPQZCPBDOMF-YCUXZELOSA-N,CHEMBL1200376,BETAMETHASONE BENZOATE,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccccc1)C(=O)CO,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.206,0.293,1.0,0.791,0.0253,0.0,0.112,0.453,1,0.629,0.0681,0.0,0.227,0.45,1.0,-5.19,-5.84,-4.53,-5.84,-4.53,3.760400000000003,0.233,0.232,0.5,0.0935,0.495,1.0,0.33,0.12,0.0,0.329,0.185,0.0,0.708,0.0366,0.0,0.75,0.35124999999999995,0.5598999999999993,0.09111499999999993,0.0,-0.0032077500000000083,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
WBGKWQHBNHJJPZ-LECWWXJVSA-N,CHEMBL1201109,DESONIDE,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.286,0.224,0.5,0.409,0.0813,0.0,0.127,0.429,1,0.195,0.249,1.0,0.552,0.093,0.0,-3.36,-4.18,-2.53,-4.18,-2.53,2.326700000000001,0.735,0.0355,0.0,0.667,0.0744,0.0,0.505,0.0492,0.0,0.704,0.0432,0.0,0.903,0.00047,0.0,1.15,0.5800000000000001,0.9183249999999997,0.1498325,0.0,-0.003400124999999997,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
HAWPXGHAZFHHAD-UHFFFAOYSA-N,CHEMBL427,MECHLORETHAMINE,CN(CCCl)CCCl,,0,0,0,0,2,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.304,0.202,0.0,0.0727,0.468,1.0,0.268,0.114,0,0.843,0.0277,0.0,0.652,0.0745,0.0,-1.13,-1.79,-0.478,-1.79,-0.478,1.3958,0.527,0.0846,0.0,0.232,0.311,0.5,0.204,0.208,0.5,0.575,0.0769,0.0,0.806,0.0371,0.0,1.2999999999999998,0.85875,0.84895,0.17077,0.0,-0.003634499999999996,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
VPMRSLWWUXNYRY-NDOYXKHWSA-N,CHEMBL3137310,BENZHYDROCODONE HYDROCHLORIDE,COc1ccc2c3c1O[C@H]1C(OC(=O)c4ccccc4)=CC[C@@H]4[C@@H](C2)N(C)CC[C@@]341,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.543,0.0943,0.0,0.76,0.0258,0.0,0.00274,0.916,1,0.466,0.119,0.0,0.086,0.769,1.0,-3.71,-4.21,-3.2,-4.21,-3.2,3.7150000000000025,0.115,0.442,1.0,0.056,0.607,1.0,0.122,0.295,1.0,0.531,0.0867,0.0,0.82,0.0303,0.0,0.8999999999999999,0.53625,0.5712499999999994,0.11074999999999996,0.0,-0.003637500000000003,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
BGSOJVFOEQLVMH-VWUMJDOOSA-L,CHEMBL1200968,HYDROCORTISONE SODIUM PHOSPHATE,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COP(=O)([O-])[O-],,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.568,0.0839,0.0,0.854,0.0155,0.0,0.433,0.0396,0,0.163,0.271,1.0,0.775,0.0347,0.0,-3.54,-4.48,-2.6,-4.48,-2.6,0.6345999999999994,0.458,0.104,0.0,0.507,0.118,0.0,0.787,0.0136,0.0,0.516,0.0968,0.0,0.888,0.0164,0.0,1.0,0.5575,0.6586499999999998,0.12161499999999999,0.0,-0.004257750000000001,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
BMQGVNUXMIRLCK-OAGWZNDDSA-N,CHEMBL1201748,CABAZITAXEL,CO[C@H]1C(=O)[C@]2(C)[C@@H](OC)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C1C2(C)C,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.615,0.0762,0.0,0.344,0.114,0.0,0.613,0.022,0,0.877,0.0238,0.0,0.0908,0.809,1.0,-6.01,-7.26,-4.77,-7.26,-4.77,4.5678000000000045,0.825,0.0187,0.0,0.108,0.469,1.0,0.369,0.106,0.0,0.802,0.0208,0.0,0.166,0.203,1.0,0.6,0.24875000000000003,0.35804999999999887,0.060679999999999894,0.0,-0.004398000000000016,3.0,"[3.0, 1.0, 0.3333333333333333, 0.1111111111111111, 0.037037037037037035, 0.012345679012345678, 0.00411522633744856, 0.0013717421124828531, 0.0004572473708276177, 0.00015241579027587258]"
DUYJMQONPNNFPI-UHFFFAOYSA-N,CHEMBL3545063,OSIMERTINIB MESYLATE,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,,0,0,0,0,2,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.258,0.249,0.5,0.179,0.187,,0.0936,0.502,1,0.772,0.0293,0.0,0.133,0.634,1.0,-4.38,-4.96,-3.81,-4.96,-3.81,4.509800000000003,0.189,0.301,1.0,0.78,0.0455,0.0,0.102,0.363,1.0,0.861,0.00986,0.0,0.345,0.126,0.0,0.75,0.4525,0.37254999999999927,0.08250499999999994,0.0,-0.004499250000000008,3.0,"[3.0, 1.0, 0.3333333333333333, 0.1111111111111111, 0.037037037037037035, 0.012345679012345678, 0.00411522633744856, 0.0013717421124828531, 0.0004572473708276177, 0.00015241579027587258]"
POPFMWWJOGLOIF-XWCQMRHXSA-N,CHEMBL1201012,FLURANDRENOLIDE,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.327,0.213,0.5,0.411,0.0827,0.0,0.088,0.669,1,0.206,0.238,1.0,0.653,0.0746,0.0,-3.62,-4.62,-2.63,-4.62,-2.63,2.498700000000001,0.769,0.0278,0.0,0.724,0.0692,0.0,0.71,0.0203,0.0,0.622,0.0707,0.0,0.913,0.028,0.0,1.15,0.5475,0.8753249999999998,0.14228249999999998,0.0,-0.004532625000000001,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
JTEGQNOMFQHVDC-NKWVEPMBSA-N,CHEMBL141,LAMIVUDINE,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.574,0.0827,0.0,0.203,0.189,0.0,0.175,0.318,1,0.216,0.232,1.0,0.796,0.0207,0.0,-1.33,-2.01,-0.648,-2.01,-0.648,-0.5941000000000001,0.555,0.0727,0.0,0.438,0.172,0.0,0.477,0.0587,0.0,0.515,0.0906,0.0,0.541,0.0924,0.0,1.0,0.83375,0.351475,0.1185225,0.0,-0.004721624999999998,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
VQODGRNSFPNSQE-DVTGEIKXSA-L,CHEMBL1200762,BETAMETHASONE SODIUM PHOSPHATE,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)([O-])[O-],,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.433,0.131,0.0,0.865,0.0136,0.0,0.353,0.0667,0,0.14,0.287,1.0,0.684,0.0591,0.0,-4.05,-5.01,-3.08,-5.01,-3.08,0.7486999999999999,0.464,0.0991,0.0,0.471,0.157,0.0,0.779,0.0156,0.0,0.441,0.13,0.0,0.318,0.137,0.0,1.0,0.49375,0.687175,0.1180925,0.0,-0.004786124999999999,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
VQODGRNSFPNSQE-CXSFZGCWSA-L,CHEMBL2021430,DEXAMETHASONE SODIUM PHOSPHATE,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)([O-])[O-],,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.432,0.129,0.0,0.862,0.0112,0.0,0.333,0.0605,0,0.14,0.287,1.0,0.653,0.0536,0.0,-4.05,-5.01,-3.08,-5.01,-3.08,0.7486999999999999,0.462,0.0974,0.0,0.471,0.153,0.0,0.777,0.0139,0.0,0.44,0.128,0.0,0.301,0.123,0.0,1.0,0.49375,0.687175,0.1180925,0.0,-0.004786124999999999,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
ZDZOTLJHXYCWBA-VCVYQWHSSA-N,CHEMBL3545252,DOCETAXEL,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.521,0.0944,0.0,0.269,0.134,0.0,0.698,0.00993,0,0.657,0.0688,0.0,0.129,0.691,1.0,-5.31,-6.28,-4.34,-6.28,-4.34,3.2596000000000025,0.687,0.0444,0.0,0.183,0.32,1.0,0.495,0.0657,0.0,0.118,0.459,1.0,0.155,0.193,1.0,0.8999999999999999,0.33625000000000005,0.6850999999999994,0.10213499999999996,0.0,-0.004929750000000003,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
JDOZJEUDSLGTLU-VWUMJDOOSA-L,CHEMBL1201014,PREDNISOLONE SODIUM PHOSPHATE,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COP(=O)([O-])[O-],,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.563,0.0872,0.0,0.859,0.012,0.0,0.171,0.327,1,0.133,0.3,1.0,0.69,0.0376,0.0,-3.46,-4.1,-2.83,-4.1,-2.83,0.4105999999999997,0.436,0.11,0.0,0.42,0.17,0.0,0.668,0.0263,0.0,0.459,0.116,0.0,0.846,0.0143,0.0,1.0,0.5675,0.6026499999999999,0.11701500000000001,0.0,-0.004947749999999998,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
VSQQQLOSPVPRAZ-RRKCRQDMSA-N,CHEMBL1129,TRIFLURIDINE,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1C(F)(F)F,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.621,0.0676,0.0,0.0699,0.448,1.0,0.195,0.228,1,0.805,0.0365,0.0,0.829,0.00868,0.0,-1.22,-1.76,-0.682,-1.76,-0.682,-0.8039000000000001,0.61,0.0615,0.0,0.444,0.157,0.0,0.866,0.00581,0.0,0.423,0.135,0.0,0.537,0.0795,0.0,1.0,0.8475,0.299025,0.1146525,0.0,-0.005302124999999999,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
CVWXJKQAOSCOAB-UHFFFAOYSA-N,CHEMBL2105709,QUIZARTINIB DIHYDROCHLORIDE,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.856,0.0184,0.0,0.808,0.0192,0.0,0.0648,0.666,1,0.671,0.0609,0.0,0.959,0.00376,0.0,-5.83,-6.61,-5.05,-6.61,-5.05,5.856500000000005,0.439,0.122,0.0,0.982,0.00261,0.0,0.2,0.223,0.5,0.162,0.398,1.0,0.713,0.0477,0.0,0.44999999999999996,0.27125,0.03587499999999877,0.03071249999999988,0.0,-0.005518125000000017,3.0,"[3.0, 1.0, 0.3333333333333333, 0.1111111111111111, 0.037037037037037035, 0.012345679012345678, 0.00411522633744856, 0.0013717421124828531, 0.0004572473708276177, 0.00015241579027587258]"
