source,term,count,studies_returned,has_nextPageToken
clinicaltrials,(droloxifene) AND (Ceritinib) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""GR-127935""[Title/Abstract] AND ""Ceritinib""[Title/Abstract])",0.0,,
clinicaltrials,(GR-127935) AND (Ceritinib) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""Ceritinib""[Title/Abstract] AND ""NPS-2143 (SB262470)""[Title/Abstract])",0.0,,
clinicaltrials,(Ceritinib) AND (NPS-2143 (SB262470)) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""PENFLURIDOL""[Title/Abstract] AND ""Auranofin""[Title/Abstract])",0.0,,
clinicaltrials,(PENFLURIDOL) AND (Auranofin) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""FLUPHENAZINE HYDROCHLORIDE""[Title/Abstract] AND ""Ceritinib""[Title/Abstract])",0.0,,
clinicaltrials,(FLUPHENAZINE HYDROCHLORIDE) AND (Ceritinib) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""PHA-665752""[Title/Abstract] AND ""Auranofin""[Title/Abstract])",0.0,,
clinicaltrials,(PHA-665752) AND (Auranofin) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""Crizotinib (PF-02341066)""[Title/Abstract] AND ""SGI-1027""[Title/Abstract])",0.0,,
clinicaltrials,(Crizotinib (PF-02341066)) AND (SGI-1027) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""Ceritinib""[Title/Abstract] AND ""BMS-833923 (XL139)""[Title/Abstract])",0.0,,
clinicaltrials,(Ceritinib) AND (BMS-833923 (XL139)) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""PENFLURIDOL""[Title/Abstract] AND ""Crizotinib (PF-02341066)""[Title/Abstract])",0.0,,
clinicaltrials,(PENFLURIDOL) AND (Crizotinib (PF-02341066)) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""Y-29794 oxalate""[Title/Abstract] AND ""Dronedarone HCl (Multaq)""[Title/Abstract])",0.0,,
clinicaltrials,(Y-29794 oxalate) AND (Dronedarone HCl (Multaq)) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""SB-772077B""[Title/Abstract] AND ""Tenovin-6""[Title/Abstract])",0.0,,
clinicaltrials,(SB-772077B) AND (Tenovin-6) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""RU-SKI-43""[Title/Abstract] AND ""Crizotinib (PF-02341066)""[Title/Abstract])",0.0,,
clinicaltrials,(RU-SKI-43) AND (Crizotinib (PF-02341066)) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""L-733060""[Title/Abstract] AND ""SGI-1027""[Title/Abstract])",0.0,,
clinicaltrials,(L-733060) AND (SGI-1027) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""Y-29794 oxalate""[Title/Abstract] AND ""Auranofin""[Title/Abstract])",0.0,,
clinicaltrials,(Y-29794 oxalate) AND (Auranofin) AND (COVID-19 OR SARS-CoV-2),,0.0,False
