rank,chembl_id,composite_final,direct_antiviral_score,focus_protein_score,focus_pathway_score,focus_moa_score,focus_protein_hits,focus_pathways,focus_moas,veroe6_relevant,mechanistic_rationale,compound_name,morphology_score,is_cp_hit,compound_identifier_used,antiviral_score_norm,cp_morphology_norm,integrated_score,integrated_rank
361.0,CHEMBL314854,0.1466397426555337,0.1223456269146212,0.0,0.8156375127641418,0.0,,Lysosphingolipid and LPA receptors,,True,Relevant pathways: Lysosphingolipid and LPA receptors,fingolimod,0.72,True,CHEMBL314854,0.04483291695553232,0.8356164383561644,0.3611463255157852,41
55.0,CHEMBL2316582,0.5763136690335242,0.4524790334545282,0.0,1.1311975836363206,0.9426646530302673,,FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,Bcr/Abl fusion protein inhibitor,False,Relevant pathways: FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation | MoA: Bcr/Abl fusion protein inhibitor,GZD824,0.45,False,CHEMBL2316582,0.16580858215016492,0.6506849315068493,0.35975912189283865,42
1.0,CHEMBL3752910,3.4512915960161155,1.0719986624365254,0.0620458587645705,6.919156267440078,0.0,"AAK1,ATP6V0C,ATP6V1H,CLTC",Aggrephagy; COPII-mediated vesicle transport; Chaperone Mediated Autophagy,,True,"Host protein hits: AAK1,ATP6V0C,ATP6V1H,CLTC | Relevant pathways: Aggrephagy; COPII-mediated vesicle transport; Chaperone Mediated Autophagy",NVP-BHG712,-0.06,False,CHEMBL3752910,0.39282831942164703,0.3013698630136986,0.3562449368584677,43
623.0,CHEMBL489,0.0710160895506385,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,afimoxifene,0.8,True,CHEMBL489,0.0,0.8904109589041096,0.35616438356164387,44
676.0,CHEMBL38576,0.0628231792002519,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,ICI-199441,0.79,True,CHEMBL38576,0.0,0.8835616438356165,0.3534246575342466,45
498.0,CHEMBL45816,0.0905008554234964,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,mibefradil,0.79,True,CHEMBL45816,0.0,0.8835616438356165,0.3534246575342466,46
2932.0,CHEMBL1254577,3.3262186921623e-05,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,VU0364739,0.77,True,CHEMBL1254577,0.0,0.8698630136986302,0.34794520547945207,47
621.0,CHEMBL254832,0.0710680507742415,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,fendiline,0.77,True,CHEMBL254832,0.0,0.8698630136986302,0.34794520547945207,48
1999.0,CHEMBL4297399,0.0030240358304221,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,LY2608204,0.77,True,CHEMBL4297399,0.0,0.8698630136986302,0.34794520547945207,49
4635.0,CHEMBL4303465,0.0,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,gallium-triquinolin-8-olate,0.77,True,CHEMBL4303465,0.0,0.8698630136986302,0.34794520547945207,50
276.0,CHEMBL1235103,0.2309528399924154,0.1696796375454481,0.0,1.1311975836363206,0.0,,FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,False,Relevant pathways: FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,PPY-A,0.63,True,CHEMBL1235103,0.062178218306311844,0.773972602739726,0.34689597207967754,51
3250.0,CHEMBL1254945,0.0,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,ELN-441958,0.76,True,CHEMBL1254945,0.0,0.863013698630137,0.3452054794520548,52
4457.0,CHEMBL4065616,0.0,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,Remdesivir,0.76,True,CHEMBL4065616,0.0,0.863013698630137,0.3452054794520548,53
2014.0,CHEMBL961,0.0028909650995785,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,ditiocarb-sodium-trihydrate,0.76,True,CHEMBL961,0.0,0.863013698630137,0.3452054794520548,54
32.0,CHEMBL1738757,0.903076895240996,0.2292958458477202,0.0,1.5286389723181348,0.0,,ER-Phagosome pathway; FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,False,Relevant pathways: ER-Phagosome pathway; FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,rebastinib,0.57,True,CHEMBL1738757,0.08402426694264498,0.732876712328767,0.3435652450970938,55
455.0,CHEMBL1175,0.102540167114231,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,duloxetine,0.75,True,CHEMBL1175,0.0,0.8561643835616438,0.34246575342465757,56
4169.0,CHEMBL298734,0.0,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,lonafarnib,0.74,True,CHEMBL298734,0.0,0.8493150684931507,0.3397260273972603,57
410.0,CHEMBL728,0.1166333874285998,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,prochlorperazine,0.74,True,CHEMBL728,0.0,0.8493150684931507,0.3397260273972603,58
20.0,CHEMBL46618,1.1254909048667594,1.011709959763137,1.8394726541147943,0.0,0.0,TMPRSS2,,,False,Host protein hits: TMPRSS2,otamixaban,-0.08,False,CHEMBL46618,0.37073583873004834,0.2876712328767123,0.33750999638871393,59
1344.0,CHEMBL252172,0.0243128910020105,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,BNTX,0.73,True,CHEMBL252172,0.0,0.8424657534246576,0.3369863013698631,60
2610.0,CHEMBL304858,0.0003991462430594,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,Ro-48-8071,0.73,True,CHEMBL304858,0.0,0.8424657534246576,0.3369863013698631,61
1992.0,CHEMBL487,0.0030535652608115,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,droloxifene,0.73,True,CHEMBL487,0.0,0.8424657534246576,0.3369863013698631,62
539.0,CHEMBL59898,0.0815840506327471,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,PD-102807,0.73,True,CHEMBL59898,0.0,0.8424657534246576,0.3369863013698631,63
518.0,CHEMBL1378,0.0852083000680733,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,thiethylperazine,0.72,True,CHEMBL1378,0.0,0.8356164383561644,0.33424657534246577,64
1819.0,CHEMBL1779732,0.0055605545245743,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,CYM-50358,0.72,True,CHEMBL1779732,0.0,0.8356164383561644,0.33424657534246577,65
902.0,CHEMBL584,0.0455731102195895,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,nelfinavir,0.72,True,CHEMBL584,0.0,0.8356164383561644,0.33424657534246577,66
280.0,CHEMBL200027,0.22911595595923,0.1063322090689369,0.0,0.7088813937929132,0.0,,ER-Phagosome pathway,,False,Relevant pathways: ER-Phagosome pathway,IKK-16,0.63,True,CHEMBL200027,0.038964883495286054,0.773972602739726,0.33296797119306204,67
38.0,CHEMBL1289926,0.7850969835089235,0.1895195718716908,0.0360726078658958,1.1311975836363206,0.0,AAK1,FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,True,Host protein hits: AAK1 | Relevant pathways: FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,axitinib,0.56,True,CHEMBL1289926,0.06944845877573523,0.726027397260274,0.33208003416955073,68
