compound_identifier_used,chembl_id,direct_antiviral_score,morphology_score,antiviral_score_norm,cp_morphology_norm,integrated_score,integrated_rank,rank
CHEMBL3752910,CHEMBL3752910,1.0719986624365254,-0.06,0.39282831942164703,0.3013698630136986,0.3562449368584677,43,1.0
CHEMBL489,CHEMBL489,0.0,0.8,0.0,0.8904109589041096,0.35616438356164387,44,623.0
CHEMBL38576,CHEMBL38576,0.0,0.79,0.0,0.8835616438356165,0.3534246575342466,45,676.0
CHEMBL45816,CHEMBL45816,0.0,0.79,0.0,0.8835616438356165,0.3534246575342466,46,498.0
CHEMBL1254577,CHEMBL1254577,0.0,0.77,0.0,0.8698630136986302,0.34794520547945207,47,2932.0
CHEMBL254832,CHEMBL254832,0.0,0.77,0.0,0.8698630136986302,0.34794520547945207,48,621.0
CHEMBL4297399,CHEMBL4297399,0.0,0.77,0.0,0.8698630136986302,0.34794520547945207,49,1999.0
CHEMBL4303465,CHEMBL4303465,0.0,0.77,0.0,0.8698630136986302,0.34794520547945207,50,4635.0
CHEMBL1235103,CHEMBL1235103,0.1696796375454481,0.63,0.062178218306311844,0.773972602739726,0.34689597207967754,51,276.0
CHEMBL1254945,CHEMBL1254945,0.0,0.76,0.0,0.863013698630137,0.3452054794520548,52,3250.0
CHEMBL4065616,CHEMBL4065616,0.0,0.76,0.0,0.863013698630137,0.3452054794520548,53,4457.0
CHEMBL961,CHEMBL961,0.0,0.76,0.0,0.863013698630137,0.3452054794520548,54,2014.0
CHEMBL1738757,CHEMBL1738757,0.2292958458477202,0.57,0.08402426694264498,0.732876712328767,0.3435652450970938,55,32.0
CHEMBL1175,CHEMBL1175,0.0,0.75,0.0,0.8561643835616438,0.34246575342465757,56,455.0
CHEMBL298734,CHEMBL298734,0.0,0.74,0.0,0.8493150684931507,0.3397260273972603,57,4169.0
CHEMBL728,CHEMBL728,0.0,0.74,0.0,0.8493150684931507,0.3397260273972603,58,410.0
CHEMBL46618,CHEMBL46618,1.011709959763137,-0.08,0.37073583873004834,0.2876712328767123,0.33750999638871393,59,20.0
CHEMBL252172,CHEMBL252172,0.0,0.73,0.0,0.8424657534246576,0.3369863013698631,60,1344.0
CHEMBL304858,CHEMBL304858,0.0,0.73,0.0,0.8424657534246576,0.3369863013698631,61,2610.0
CHEMBL487,CHEMBL487,0.0,0.73,0.0,0.8424657534246576,0.3369863013698631,62,1992.0
CHEMBL59898,CHEMBL59898,0.0,0.73,0.0,0.8424657534246576,0.3369863013698631,63,539.0
CHEMBL1378,CHEMBL1378,0.0,0.72,0.0,0.8356164383561644,0.33424657534246577,64,518.0
CHEMBL1779732,CHEMBL1779732,0.0,0.72,0.0,0.8356164383561644,0.33424657534246577,65,1819.0
CHEMBL584,CHEMBL584,0.0,0.72,0.0,0.8356164383561644,0.33424657534246577,66,902.0
CHEMBL200027,CHEMBL200027,0.1063322090689369,0.63,0.038964883495286054,0.773972602739726,0.33296797119306204,67,280.0
CHEMBL1289926,CHEMBL1289926,0.1895195718716908,0.56,0.06944845877573523,0.726027397260274,0.33208003416955073,68,38.0
CHEMBL1801932,CHEMBL1801932,0.0,0.71,0.0,0.8287671232876712,0.3315068493150685,69,2232.0
CHEMBL2111101,CHEMBL2111101,0.0,0.71,0.0,0.8287671232876712,0.3315068493150685,70,1332.0
CHEMBL4303620,CHEMBL4303620,0.0,0.71,0.0,0.8287671232876712,0.3315068493150685,71,4693.0
CHEMBL460491,CHEMBL460491,0.0,0.71,0.0,0.8287671232876712,0.3315068493150685,72,2245.0
CHEMBL3989870,CHEMBL3989870,0.1696796375454481,0.57,0.062178218306311844,0.732876712328767,0.33045761591529393,73,60.0
CHEMBL506247,CHEMBL506247,1.011709959763137,-0.11,0.37073583873004834,0.2671232876712329,0.3292908183065222,74,18.0
CHEMBL4297188,CHEMBL4297188,0.0,0.7,0.0,0.821917808219178,0.3287671232876712,75,2148.0
CHEMBL1229535,CHEMBL1229535,0.4577042230404515,0.33,0.1677233256247812,0.5684931506849316,0.3280312556488414,76,68.0
CHEMBL214253,CHEMBL214253,0.0,0.69,0.0,0.815068493150685,0.326027397260274,77,2128.0
CHEMBL260015,CHEMBL260015,0.0,0.69,0.0,0.815068493150685,0.326027397260274,78,869.0
CHEMBL3808844,CHEMBL3808844,0.0,0.69,0.0,0.815068493150685,0.326027397260274,79,1775.0
CHEMBL4303221,CHEMBL4303221,0.0,0.69,0.0,0.815068493150685,0.326027397260274,80,4539.0
CHEMBL1078261,CHEMBL1078261,0.0,0.68,0.0,0.8082191780821919,0.32328767123287677,81,1236.0
CHEMBL1626,CHEMBL1626,0.0,0.68,0.0,0.8082191780821919,0.32328767123287677,82,350.0
CHEMBL527026,CHEMBL527026,0.0,0.68,0.0,0.8082191780821919,0.32328767123287677,83,2018.0
CHEMBL3187365,CHEMBL3187365,0.0,0.67,0.0,0.8013698630136986,0.32054794520547947,84,679.0
CHEMBL419296,CHEMBL419296,0.0,0.67,0.0,0.8013698630136986,0.32054794520547947,85,1198.0
CHEMBL483059,CHEMBL483059,0.0,0.66,0.0,0.7945205479452055,0.3178082191780822,86,2955.0
CHEMBL1423,CHEMBL1423,0.2168684790029854,0.48,0.07947032317059056,0.6712328767123288,0.31617534458728586,87,98.0
CHEMBL3184878,CHEMBL3184878,0.0,0.65,0.0,0.7876712328767123,0.3150684931506849,88,4227.0
CHEMBL4303205,CHEMBL4303205,0.0,0.65,0.0,0.7876712328767123,0.3150684931506849,89,4535.0
CHEMBL585902,CHEMBL585902,0.0,0.65,0.0,0.7876712328767123,0.3150684931506849,90,782.0
