dedup_key,parent_inchikey,parent_smiles,canonical_smiles,example_drug_name,chembl_id,n_records,n_proteins,n_pathways,n_moas,any_known_aml,max_phase
ISOCDPQFIXDIMS-UHFFFAOYSA-N,ISOCDPQFIXDIMS-UHFFFAOYSA-N,O=C(Nc1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1)C1CCCN1,O=C(Nc1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1)C1CCCN1,XL-019,CHEMBL3545328,77,1,76,0,False,1.0
ITRJWOMZKQRYTA-RFZYENFJSA-N,ITRJWOMZKQRYTA-RFZYENFJSA-N,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@@]21C,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@@]21C,CORTISONE ACETATE,CHEMBL1650,1,0,0,1,False,
IUVCFHHAEHNCFT-INIZCTEOSA-N,IUVCFHHAEHNCFT-INIZCTEOSA-N,CC(C)Oc1ccc(-c2nn([C@@H](C)c3oc4ccc(F)cc4c(=O)c3-c3cccc(F)c3)c3ncnc(N)c23)cc1F,CC(C)Oc1ccc(-c2nn([C@@H](C)c3oc4ccc(F)cc4c(=O)c3-c3cccc(F)c3)c3ncnc(N)c23)cc1F,UMBRALISIB,CHEMBL3948730;CHEMBL3989869,55,2,52,1,False,4.0
IWUCXVSUMQZMFG-AFCXAGJDSA-N,IWUCXVSUMQZMFG-AFCXAGJDSA-N,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,RIBAVIRIN,CHEMBL1643,1,0,0,1,False,
IXOXBSCIXZEQEQ-UHTZMRCNSA-N,IXOXBSCIXZEQEQ-UHTZMRCNSA-N,COc1nc(N)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,COc1nc(N)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,NELARABINE,CHEMBL1201112,1,0,0,1,False,
IXWNTLSTOZFSCM-YVACAVLKSA-N,IXWNTLSTOZFSCM-YVACAVLKSA-N,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1NC(=O)[C@@H](N)CO,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1NC(=O)[C@@H](N)CO,OMBRABULIN,CHEMBL572284,1,0,0,1,False,
JCINBYQJBYJGDM-UHFFFAOYSA-N,JCINBYQJBYJGDM-UHFFFAOYSA-N,CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(Nc3cc(C)n(C)n3)nc21,CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(Nc3cc(C)n(C)n3)nc21,BMS-911543,CHEMBL3545215,77,1,76,0,False,1.0
JCKYGMPEJWAADB-UHFFFAOYSA-N,JCKYGMPEJWAADB-UHFFFAOYSA-N,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,CHLORAMBUCIL,CHEMBL515,1,0,0,1,False,
JDOZJEUDSLGTLU-VWUMJDOOSA-L,JDOZJEUDSLGTLU-VWUMJDOOSA-L,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COP(=O)([O-])[O-],C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COP(=O)([O-])[O-].[Na+].[Na+],PREDNISOLONE SODIUM PHOSPHATE,CHEMBL1201014,1,0,0,1,False,
JGWRKYUXBBNENE-UHFFFAOYSA-N,JGWRKYUXBBNENE-UHFFFAOYSA-N,FC(F)(F)c1ccc(CNc2ccc(Cc3c[nH]c4ncc(Cl)cc34)cn2)cn1,FC(F)(F)c1ccc(CNc2ccc(Cc3c[nH]c4ncc(Cl)cc34)cn2)cn1,PEXIDARTINIB,CHEMBL3813873;CHEMBL3989973,194,4,188,2,False,4.0
