smiles,p_value_0,p_value_1,BBB_penetration
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,0.115,0.448,1
CC(=O)Oc1ccccc1C(=O)O,0.682,0.0158,0
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,0.0439,0.913,1
O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[Na+],0.193,0.231,1
COc1ccc2cc(CCC(C)=O)ccc2c1,0.177,0.376,1
O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[K+],0.278,0.113,0
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,0.266,0.109,0
COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,0.316,0.0915,0
Cc1ccc(Cl)c(Nc2ccccc2C(=O)[O-])c1Cl.O.[Na+],0.545,0.0183,0
O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,0.729,0.0104,0
Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,0.403,0.0422,0
Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,0.108,0.37,1
O=C([O-])CCNC(=O)c1ccc(/N=N/c2ccc(O)c(C(=O)[O-])c2)cc1.[Na+].[Na+],0.546,0.0228,0
O=C([O-])c1cc(/N=N/c2ccc(O)c(C(=O)[O-])c2)ccc1O.[Na+].[Na+],0.644,0.0131,0
O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,0.704,0.0119,0
Nc1ccc(O)c(C(=O)O)c1,0.45,0.0466,0
Cc1ccc(C(=O)c2ccc(CC(=O)[O-])n2C)cc1.[Na+],0.191,0.2,1
COc1ccc2cc([C@H](C)C(=O)[O-])ccc2c1.[Na+],0.21,0.155,0
CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc([S+](C)[O-])cc1,0.29,0.135,0
CC(C(=O)[O-])c1cccc(Oc2ccccc2)c1.CC(C(=O)[O-])c1cccc(Oc2ccccc2)c1.O.O.[Ca+2],0.155,0.352,1
CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,0.419,0.0393,0
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,0.0887,0.468,1
CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,0.1,0.55,1
O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,0.374,0.0692,0
O=C(O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,0.649,0.0238,0
NC(=O)Cc1cccc(C(=O)c2ccccc2)c1N,0.219,0.196,0
CC(=O)Nc1ccc(O)cc1,0.113,0.439,1
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl.OCCN1CCCC1,0.129,0.362,1
O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12,0.168,0.262,1
Cc1c(N(C)CS(=O)(=O)[O-])c(=O)n(-c2ccccc2)n1C.O.[Na+],0.102,0.432,1
Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1,0.17,0.297,1
CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O.O,0.625,0.0178,0
O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,0.697,0.00975,0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,0.255,0.134,0
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,0.715,0.0155,0
CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,0.0624,0.765,1
CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,0.0396,0.891,1
CC(C(=O)O)c1cccc(Oc2ccccc2)c1,0.26,0.164,0
CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,0.344,0.102,0
CC(C)Cc1ccc([C@H](C)C(=O)O)cc1,0.662,0.0228,0
COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,0.339,0.0678,0
Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,0.0665,0.653,1
Cc1cccc(Nc2ccccc2C(=O)O)c1C,0.709,0.0133,0
C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1,0.105,0.473,1
NC(CO)(CO)CO.O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,0.665,0.0103,0
CCC(=O)[N-]S(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2C)cc1.[Na+],0.193,0.179,{∅}
Nc1c(CC(=O)[O-])cccc1C(=O)c1ccc(Br)cc1.Nc1c(CC(=O)[O-])cccc1C(=O)c1ccc(Br)cc1.O.O.O.[Na+].[Na+],0.0293,0.917,1
Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,0.291,0.111,0
CCC(=O)NS(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2C)cc1,0.308,0.106,0
CCCC1C(=O)N2C(N(C)C)=Nc3ccc(C)cc3N2C1=O,0.405,0.0508,0
CN1C(C(=O)Nc2ccccn2)=C(O)c2sc(Cl)cc2S1(=O)=O,0.47,0.0349,0
CC(C(=O)O)c1ccc(N2CC=CC2)c(Cl)c1,0.287,0.124,0
Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1,0.171,0.26,1
Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,0.727,0.0109,0
CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,0.244,0.121,0
CC(C)Cc1ccc(C(C)C(=O)O)cc1.NCCCC[C@H](N)C(=O)O,0.68,0.0152,0
CS(=O)(=O)Nc1cc2occ(NC=O)c(=O)c2cc1Oc1ccccc1,0.0964,0.531,1
CCOc1ccc(-c2nn3ncccc3c2-c2ccc(S(C)(=O)=O)cc2)cc1,0.0658,0.864,1
O=C(O)CCNC(=O)c1ccc(/N=N/c2ccc(O)c(C(=O)O)c2)cc1,0.688,0.0136,0
CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.O.O.[Na+],0.504,0.0356,0
Cc1c(N(C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C,0.247,0.166,0
COc1ccc2cc([C@H](C)C(=O)OCCCCO[N+](=O)[O-])ccc2c1,0.222,0.163,0
CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,0.583,0.0301,0
CC1(C)OC(c2ccc(S(N)(=O)=O)cc2)=C(c2cccc(F)c2)C1=O,0.109,0.616,1
CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12.Cl,0.0203,0.998,1
C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,0.258,0.135,0
CCOc1ccc(-c2cc(C)cn2-c2ccc(S(N)(=O)=O)cc2)cc1,0.108,0.664,1
O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O,0.821,0.00747,0
COc1ccc(-c2c(Cl)ncn2-c2ccc(S(N)(=O)=O)cc2)cc1F,0.142,0.424,1
COc1ccc2cc([C@H](C)C(=O)OCCS(C)(=O)=O)ccc2c1,0.179,0.23,1
COc1ccc2c(c1)c(CC(=O)[O-])c(C)n2C(=O)c1ccc(Cl)cc1.O.O.O.[Na+],0.0486,0.87,1
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,0.713,0.0137,0
CC(C)c1nc(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1,0.354,0.0765,0
CO[C@H]1O[C@H](COS(=O)(=O)[O-])[C@@H](O[C@@H]2O[C@@H](C(=O)[O-])[C@@H](O[C@H]3O[C@H](COS(=O)(=O)[O-])[C@@H](O[C@@H]4O[C@H](C(=O)[O-])[C@@H](O[C@H]5O[C@H](COS(=O)(=O)[O-])[C@@H](O)[C@H](O)[C@H]5NS(=O)(=O)[O-])[C@H](O)[C@H]4O)[C@H](OS(=O)(=O)[O-])[C@H]3NS(=O)(=O)[O-])[C@H](O)[C@H]2OS(=O)(=O)[O-])[C@H](O)[C@H]1NS(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],0.487,0.028,0
CO[C@H]1O[C@H](COS(=O)(=O)O)[C@@H](O[C@@H]2O[C@@H](C(=O)O)[C@@H](O[C@H]3O[C@H](COS(=O)(=O)O)[C@@H](O[C@@H]4O[C@H](C(=O)O)[C@@H](O[C@H]5O[C@H](COS(=O)(=O)O)[C@@H](O)[C@H](O)[C@H]5NS(=O)(=O)O)[C@H](O)[C@H]4O)[C@H](OS(=O)(=O)O)[C@H]3NS(=O)(=O)O)[C@H](O)[C@H]2OS(=O)(=O)O)[C@H](O)[C@H]1NS(=O)(=O)O,0.914,0.00463,0
O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],0.284,0.0989,0
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],0.288,0.0962,0
O=[N+]([O-])O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,0.315,0.0928,0
COC(=O)Nc1c(N)nc(-c2nn(Cc3ccccc3F)c3ncc(F)cc23)nc1N,0.129,0.365,1
O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-],0.251,0.131,0
COC(=O)N(C)c1c(N)nc(-c2nn(Cc3ccccc3F)c3ncccc23)nc1N,0.102,0.498,1
O=C(Nc1ccc(S(=O)(=O)N2CCOCC2)cc1)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(Cl)s1,0.329,0.0959,0
O=C(O)CCCCN(CCc1ccccc1OCc1ccc(CCc2ccccc2)cc1)Cc1ccc(C(=O)O)cc1,0.201,0.271,0.5
OC(CNc1nc(-c2cc(-c3ccon3)n(Cc3ccccc3F)n2)ncc1F)(C(F)(F)F)C(F)(F)F,0.119,0.402,1
C[C@H]([C@H](C(=O)Nc1cc([C@@H](CC(=O)O)C2CC2)ccc1Cl)c1ccc(Cl)cc1)C(F)(F)F,0.239,0.161,0
NC(=O)[C@](O)(CNc1nc(-c2cc(-c3ccon3)n(Cc3ccccc3F)n2)ncc1F)C(F)(F)F,0.161,0.233,1
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,0.446,0.0331,0
CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,0.462,0.0384,0
CCOC(=O)c1ccc(C#Cc2ccc3c(c2)C(C)(C)CCS3)nc1,0.0876,0.588,1
COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,0.302,0.113,0
CCOC(=O)/C=C(C)/C=C/C=C(C)/C=C/c1c(C)cc(OC)c(C)c1C,0.194,0.238,1
COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,0.144,0.394,1
CC(C)(C)c1cc(-c2cc(-c3ccc(C(=O)O)cc3)ccc2OCCO)ccc1N1CCCC1,0.217,0.239,0.5
