pair_key,name_1,name_2,target_overlap_jaccard,moa_overlap_jaccard
NVP-BSK805 2HCl||haloprogin,haloprogin,NVP-BSK805 2HCl,0.0,0.0
BMS-833923 (XL139)||SB-216641,SB-216641,BMS-833923 (XL139),0.0,0.0
BNTX||PD173074,BNTX,PD173074,0.0,0.0
AY-9944||SGI-1776 free base,AY-9944,SGI-1776 free base,0.0,0.0
Revaprazan Hydrochloride||SULOCTIDIL,SULOCTIDIL,Revaprazan Hydrochloride,0.0,0.0
SR-33805 oxalate||cyclovalone,SR-33805 oxalate,cyclovalone,0.0,0.0
BMS-833923 (XL139)||NPS-2143 (SB262470),NPS-2143 (SB262470),BMS-833923 (XL139),0.0,0.0
BMS-833923 (XL139)||L-733060,L-733060,BMS-833923 (XL139),0.0,0.0
Miransertib||UNC1999,Miransertib,UNC1999,0.0,0.0
Ceritinib||MK-2206 dihydrochloride,Ceritinib,MK-2206 dihydrochloride,0.0,0.0
BMS-833923 (XL139)||WAY-600,WAY-600,BMS-833923 (XL139),0.0,0.0
MK-2206 dihydrochloride||PENFLURIDOL,PENFLURIDOL,MK-2206 dihydrochloride,0.0,0.0
BMS-833923 (XL139)||MK-2206 dihydrochloride,MK-2206 dihydrochloride,BMS-833923 (XL139),0.0,0.0
BMS-833923 (XL139)||FLUPHENAZINE HYDROCHLORIDE,FLUPHENAZINE HYDROCHLORIDE,BMS-833923 (XL139),0.0,0.0
Benztropine mesylate||MK-2206 dihydrochloride,MK-2206 dihydrochloride,Benztropine mesylate,0.0,0.0
AMG-548||IT1t,AMG-548,IT1t,0.0,0.0
Endoxifen HCl||PD173074,PD173074,Endoxifen HCl,0.0,0.0
MK-2206 dihydrochloride||NVP-BSK805 2HCl,MK-2206 dihydrochloride,NVP-BSK805 2HCl,0.0,0.0
PENFLURIDOL||fendiline,PENFLURIDOL,fendiline,0.09523809523809523,0.0
AS-1892802||P7C3,P7C3,AS-1892802,0.0,0.0
Cathepsin Inhibitor 1||NPS-2143 (SB262470),NPS-2143 (SB262470),Cathepsin Inhibitor 1,0.0,0.0
R-96544||SIMVASTATIN,SIMVASTATIN,R-96544,0.0,0.0
Cathepsin Inhibitor 1||MK-2206 dihydrochloride,MK-2206 dihydrochloride,Cathepsin Inhibitor 1,0.0,0.0
MK-2206 dihydrochloride||PROCHLORPERAZINE EDISYLATE,PROCHLORPERAZINE EDISYLATE,MK-2206 dihydrochloride,0.0,0.0
MCOPPB||SGI-1776 free base,MCOPPB,SGI-1776 free base,0.0,0.0
Lasofoxifene (Tartrate)||SGI-1776 free base,Lasofoxifene (Tartrate),SGI-1776 free base,0.0625,0.0
BNTX||Y-134,BNTX,Y-134,0.0,0.0
10-DEBC||PERHEXILINE MALEATE,PERHEXILINE MALEATE,10-DEBC,0.0,0.0
CLOMIPHENE CITRATE||SGI-1776 free base,CLOMIPHENE CITRATE,SGI-1776 free base,0.07142857142857142,0.0
10-DEBC||Dronedarone HCl (Multaq),10-DEBC,Dronedarone HCl (Multaq),0.0,0.0
JNJ 26854165 (Serdemetan)||SB-772077B,SB-772077B,JNJ 26854165 (Serdemetan),0.0,0.0
MK-2206 dihydrochloride||THIORIDAZINE HYDROCHLORIDE,THIORIDAZINE HYDROCHLORIDE,MK-2206 dihydrochloride,0.0,0.0
BMS-833923 (XL139)||pyrrolidine-dithiocarbamate,pyrrolidine-dithiocarbamate,BMS-833923 (XL139),0.0,0.0
"K02288||MNS (3,4-Methylenedioxy-Â¦Ã‚-nitrostyrene)",K02288,"MNS (3,4-Methylenedioxy-Â¦Ã‚-nitrostyrene)",0.0,0.0
Dronedarone HCl (Multaq)||Lasofoxifene (Tartrate),Lasofoxifene (Tartrate),Dronedarone HCl (Multaq),0.03333333333333333,0.0
UNC1999||Y-320,UNC1999,Y-320,0.0,0.0
10-DEBC||EHop-016,10-DEBC,EHop-016,0.0,0.0
GNF-5837||cyclovalone,GNF-5837,cyclovalone,0.0,0.0
SGI-1776 free base||gallium-triquinolin-8-olate,gallium-triquinolin-8-olate,SGI-1776 free base,0.0,0.0
MK-2206 dihydrochloride||NNC-05-2090,NNC-05-2090,MK-2206 dihydrochloride,0.0,0.0
RU-SKI-43||SIMVASTATIN,SIMVASTATIN,RU-SKI-43,0.0,0.0
Dronedarone HCl (Multaq)||NPS-2143 (SB262470),Dronedarone HCl (Multaq),NPS-2143 (SB262470),0.03333333333333333,0.0
BMS-833923 (XL139)||CYM-5442,CYM-5442,BMS-833923 (XL139),0.0,0.0
SULOCTIDIL||droloxifene,SULOCTIDIL,droloxifene,0.0,0.0
NPS-2143 (SB262470)||QUINACRINE HYDROCHLORIDE,QUINACRINE HYDROCHLORIDE,NPS-2143 (SB262470),0.038461538461538464,0.0
EHop-016||SGI-1776 free base,SGI-1776 free base,EHop-016,0.0,0.0
MK-2206 dihydrochloride||U-18666A,U-18666A,MK-2206 dihydrochloride,0.0,0.0
JHW-007||NVP-BSK805 2HCl,JHW-007,NVP-BSK805 2HCl,0.0,0.0
Bazedoxifene HCl||PD173074,PD173074,Bazedoxifene HCl,0.0,0.0
Dronedarone HCl (Multaq)||SB-216641,SB-216641,Dronedarone HCl (Multaq),0.0,0.0
SNAP-5089||cyclovalone,SNAP-5089,cyclovalone,0.0,0.0
Dronedarone HCl (Multaq)||Flupentixol,Flupentixol,Dronedarone HCl (Multaq),0.06666666666666667,0.0
