pair_key,name_1,name_2,target_1,moa_1,target_2,moa_2,mech_comp,external_novelty,priority_score
CGP-71683||SGI-1027,CGP-71683,SGI-1027,ADRA2A;NPY5R,neuropeptide receptor antagonist,DNMT1;DNMT3A;DNMT3B,DNA methyltransferase inhibitor,1.0,1,3.647624015513626
PENFLURIDOL||QUINACRINE HYDROCHLORIDE,QUINACRINE HYDROCHLORIDE,PENFLURIDOL,ACHE;ADRA2A;ADRA2B;ADRA2C;AKT1;CHRM1;CHRM2;CHRM3;CHRM4;DRD3;HRH3;HTR2A;KCNH2;MTOR;NFKB1;PLA2G1B;PLA2G2A;PLA2G2D;PRNP;TP53,cytokine production inhibitor | NFkB pathway inhibitor | TP53 activator,ADRA1D;ADRA2B;ADRA2C;ADRB3;CACNA1G;DRD1;DRD2;DRD3;DRD4;DRD5;HRH1;HRH2;HTR1A;HTR2A;HTR2B;HTR2C;HTR5A;HTR6;OPRK1;OPRM1,T-type calcium channel blocker,0.8888888888888888,1,3.6000095479858856
SGI-1027||VE-822,VE-822,SGI-1027,ABL1;ATM;ATR;DYRK2;FLT3;FLT4;GSK3A;GSK3B;JAK2;KIT;MAP3K9;MERTK;MTOR;PIK3CG;SERPINA2;SYK,ATR kinase inhibitor,DNMT1;DNMT3A;DNMT3B,DNA methyltransferase inhibitor,1.0,1,3.583585681895128
Ceritinib||SIMVASTATIN,SIMVASTATIN,Ceritinib,CYP2C8;CYP3A4;CYP3A5;HMGCR;ITGB2;NR1H4;NR1I3,HMGCR inhibitor,ABCB1;ALK;CAMK4;EGFR;FER;FGFR2;FGFR3;FGFR4;FLT3;IGF1R;INSR;JAK2;LCK;LYN;MET;PTK2;RET;ROS1;TNK1;TNK2;TSSK1B,ALK tyrosine kinase receptor inhibitor,1.0,1,3.538887458368948
3-CPMT||Ceritinib,3-CPMT,Ceritinib,DRD4,dopamine reuptake inhibitor,ABCB1;ALK;CAMK4;EGFR;FER;FGFR2;FGFR3;FGFR4;FLT3;IGF1R;INSR;JAK2;LCK;LYN;MET;PTK2;RET;ROS1;TNK1;TNK2;TSSK1B,ALK tyrosine kinase receptor inhibitor,1.0,1,3.3676794344521377
Ceritinib||norfluoxetine,norfluoxetine,Ceritinib,HTR2B,selective serotonin reuptake inhibitor (SSRI),ABCB1;ALK;CAMK4;EGFR;FER;FGFR2;FGFR3;FGFR4;FLT3;IGF1R;INSR;JAK2;LCK;LYN;MET;PTK2;RET;ROS1;TNK1;TNK2;TSSK1B,ALK tyrosine kinase receptor inhibitor,1.0,1,3.352505416848626
Auranofin||PERHEXILINE MALEATE,PERHEXILINE MALEATE,Auranofin,CHRM1;CHRM3;CHRM4;CHRM5;CPT1A;CPT2;CYP2D6,carnitine palmitoyltransferase inhibitor,,,1.0,1,3.3393052429617778
CLOMIPHENE CITRATE||Ceritinib,CLOMIPHENE CITRATE,Ceritinib,AR;EBP;ESR1;KCNH2;SIGMAR1,estrogen receptor antagonist,ABCB1;ALK;CAMK4;EGFR;FER;FGFR2;FGFR3;FGFR4;FLT3;IGF1R;INSR;JAK2;LCK;LYN;MET;PTK2;RET;ROS1;TNK1;TNK2;TSSK1B,ALK tyrosine kinase receptor inhibitor,1.0,1,3.334062622283755
SGI-1027||TOREMIFENE CITRATE,TOREMIFENE CITRATE,SGI-1027,CYP3A5;ESR1,estrogen receptor antagonist | selective estrogen receptor modulator (SERM),DNMT1;DNMT3A;DNMT3B,DNA methyltransferase inhibitor,1.0,1,3.278514629525793
10-DEBC||Ceritinib,10-DEBC,Ceritinib,PIM1,AKT inhibitor,ABCB1;ALK;CAMK4;EGFR;FER;FGFR2;FGFR3;FGFR4;FLT3;IGF1R;INSR;JAK2;LCK;LYN;MET;PTK2;RET;ROS1;TNK1;TNK2;TSSK1B,ALK tyrosine kinase receptor inhibitor,1.0,1,3.2622107207436684
SGI-1027||droloxifene,droloxifene,SGI-1027,,,DNMT1;DNMT3A;DNMT3B,DNA methyltransferase inhibitor,1.0,1,3.194240900059795
